Epoch,IOU_Train,IOU_Val
0,0.5338,0.4412
1,0.5630,0.4604
2,0.5741,0.5111
3,0.5809,0.4723
4,0.5879,0.5152
5,0.5945,0.4723
6,0.5980,0.4699
7,0.6020,0.5371
8,0.6050,0.4592
9,0.6094,0.4820
10,0.6126,0.3327
11,0.6165,0.5167
12,0.6192,0.5215
13,0.6212,0.4541
14,0.6245,0.5337
15,0.6266,0.4152
16,0.6283,0.5288
17,0.6305,0.4777
18,0.6333,0.4661
19,0.6335,0.5483
20,0.6365,0.4919
21,0.6368,0.4021
22,0.6386,0.5290
23,0.6421,0.3432
24,0.6439,0.5267
25,0.6454,0.5380
26,0.6466,0.4795
27,0.6475,0.4769
28,0.6489,0.5090
29,0.6512,0.5324
30,0.6526,0.5390
31,0.6548,0.5300
32,0.6558,0.3902
33,0.6567,0.4560
34,0.6591,0.3141
35,0.6610,0.3760
36,0.6619,0.4793
37,0.6638,0.3857
38,0.6651,0.5331
39,0.6654,0.4565
40,0.6677,0.4197
41,0.6687,0.3516
42,0.6697,0.3586
43,0.6713,0.5070
44,0.6728,0.3143
45,0.6738,0.4273
46,0.6759,0.4714
47,0.6760,0.3743
48,0.6800,0.4366
49,0.6797,0.4923
50,0.6812,0.5171
51,0.6833,0.5392
52,0.6846,0.5002
53,0.6855,0.5268
54,0.6870,0.3758
55,0.6877,0.4711
56,0.6901,0.4899
57,0.6917,0.5094
58,0.6921,0.3206
59,0.6941,0.5108
60,0.6943,0.4937
61,0.6961,0.5274
62,0.6974,0.4827
63,0.6991,0.2907
64,0.7015,0.4597
65,0.7014,0.3302
66,0.7032,0.3715
67,0.7039,0.3529
68,0.7057,0.1676
69,0.7067,0.5296
70,0.7083,0.3375
71,0.7086,0.4022
72,0.7099,0.3208
73,0.7106,0.3438
74,0.7118,0.3307
75,0.7139,0.5058
76,0.7141,0.4913
77,0.7152,0.3587
78,0.7168,0.4358
79,0.7171,0.4537
80,0.7185,0.3971
81,0.7192,0.4188
82,0.7205,0.3257
83,0.7214,0.3736
84,0.7226,0.4491
85,0.7241,0.3220
86,0.7236,0.2028
87,0.7260,0.2255
88,0.7271,0.4437
89,0.7279,0.2308
90,0.7288,0.3374
91,0.7303,0.4356
92,0.7303,0.3401
93,0.7314,0.3757
94,0.7327,0.4363
95,0.7339,0.2877
96,0.7335,0.3201
97,0.7347,0.1483
98,0.7364,0.3349
99,0.7370,0.2795
100,0.7384,0.3502
101,0.7383,0.2196
102,0.7400,0.4618
103,0.7413,0.2334
104,0.7410,0.2881
105,0.7428,0.4602
106,0.7433,0.2955
107,0.7449,0.1377
108,0.7451,0.2946
109,0.7468,0.3391
110,0.7476,0.4148
111,0.7488,0.4255
112,0.7492,0.2933
113,0.7503,0.1603
114,0.7522,0.5389
115,0.7515,0.3136
116,0.7536,0.3491
117,0.7540,0.3852
118,0.7544,0.3395
119,0.7563,0.4849
120,0.7574,0.3006
121,0.7577,0.4460
122,0.7587,0.3261
123,0.7595,0.3272
124,0.7606,0.3566
125,0.7611,0.2423
126,0.7619,0.4183
127,0.7625,0.3387
128,0.7638,0.4990
129,0.7644,0.4549
130,0.7668,0.4658
131,0.7659,0.2383
132,0.7671,0.1905
133,0.7685,0.3311
134,0.7681,0.3195
135,0.7702,0.4365
136,0.7711,0.3762
137,0.7712,0.2101
138,0.7723,0.2679
139,0.7739,0.3817
140,0.7738,0.2938
141,0.7746,0.4211
142,0.7755,0.2598
143,0.7773,0.4197
144,0.7770,0.3816
145,0.7783,0.4587
146,0.7786,0.3635
147,0.7800,0.3814
148,0.7797,0.3510
149,0.7810,0.4533
150,0.7819,0.2887
151,0.7829,0.3682
152,0.7838,0.4706
153,0.7836,0.2396
154,0.7849,0.1484
155,0.7855,0.2735
156,0.7868,0.3287
157,0.7875,0.3039
158,0.7882,0.3814
159,0.7886,0.4333
160,0.7894,0.3471
161,0.7903,0.3645
162,0.7910,0.3297
163,0.7921,0.2115
164,0.7921,0.2873
165,0.7932,0.4079
166,0.7933,0.3986
167,0.7945,0.2127
168,0.7953,0.3491
169,0.7959,0.4922
170,0.7970,0.3720
171,0.7980,0.3466
172,0.7978,0.3827
173,0.7995,0.4301
174,0.7996,0.4276
175,0.8001,0.4449
176,0.8002,0.4617
177,0.8014,0.4228
178,0.8025,0.2999
179,0.8029,0.3061
180,0.8037,0.2741
181,0.8048,0.2353
182,0.8045,0.2987
183,0.8056,0.3965
184,0.8063,0.4355
185,0.8066,0.2889
186,0.8075,0.4367
187,0.8087,0.3876
188,0.8084,0.2621
189,0.8097,0.3802
190,0.8108,0.3422
191,0.8105,0.3660
192,0.8107,0.2538
193,0.8123,0.4259
194,0.8123,0.4185
195,0.8128,0.4788
196,0.8140,0.3918
197,0.8143,0.3541
198,0.8150,0.3670
199,0.8157,0.2204
200,0.8162,0.3627
201,0.8172,0.3111
202,0.8174,0.3536
203,0.8180,0.4434
204,0.8190,0.3215
205,0.8195,0.2811
206,0.8198,0.3341
207,0.8205,0.4135
208,0.8213,0.2358
209,0.8213,0.2290
210,0.8223,0.3650
211,0.8230,0.3508
212,0.8234,0.4460
213,0.8245,0.3295
214,0.8250,0.2133
215,0.8251,0.2713
216,0.8260,0.4515
217,0.8266,0.4774
218,0.8273,0.3069
219,0.8277,0.3349
220,0.8281,0.2548
221,0.8293,0.4783
222,0.8300,0.4526
223,0.8299,0.2940
224,0.8309,0.2708
225,0.8314,0.4283
226,0.8317,0.3481
227,0.8322,0.4265
228,0.8329,0.3895
229,0.8336,0.3968
230,0.8332,0.3505
231,0.8350,0.3582
232,0.8356,0.4154
233,0.8353,0.3920
234,0.8361,0.3132
235,0.8370,0.3215
236,0.8368,0.4315
237,0.8382,0.3491
238,0.8382,0.3902
239,0.8389,0.3811
240,0.8396,0.3510
241,0.8403,0.3272
242,0.8407,0.2641
243,0.8413,0.4454
244,0.8420,0.2812
245,0.8421,0.1824
246,0.8430,0.2507
247,0.8428,0.3749
248,0.8439,0.2946
249,0.8443,0.3219
250,0.8453,0.2850
251,0.8458,0.3602
252,0.8456,0.2218
253,0.8467,0.3138
254,0.8471,0.4792
255,0.8474,0.2136
256,0.8481,0.3530
257,0.8487,0.3744
258,0.8491,0.4642
259,0.8499,0.4206
260,0.8508,0.4563
261,0.8506,0.4369
262,0.8512,0.2556
263,0.8517,0.2336
264,0.8522,0.3647
265,0.8522,0.3282
266,0.8532,0.3725
267,0.8538,0.4344
268,0.8543,0.4113
269,0.8551,0.4537
270,0.8552,0.3280
271,0.8556,0.3076
272,0.8561,0.3919
273,0.8569,0.3983
274,0.8572,0.3469
275,0.8577,0.4580
276,0.8587,0.4307
277,0.8589,0.4012
278,0.8593,0.3483
279,0.8597,0.1811
280,0.8604,0.3797
281,0.8609,0.3702
282,0.8610,0.3749
283,0.8618,0.3195
284,0.8621,0.4106
285,0.8628,0.4395
286,0.8633,0.3475
287,0.8639,0.3640
288,0.8646,0.4089
289,0.8648,0.3940
290,0.8657,0.4225
291,0.8649,0.4117
292,0.8667,0.3000
293,0.8667,0.4619
294,0.8674,0.3561
295,0.8678,0.3619
296,0.8678,0.3303
297,0.8683,0.3572
298,0.8690,0.3362
299,0.8694,0.3950
300,0.8700,0.3488
301,0.8705,0.3760
302,0.8711,0.4604
303,0.8714,0.3705
304,0.8720,0.4314
305,0.8722,0.4549
306,0.8728,0.3485
307,0.8727,0.2588
308,0.8735,0.3803
309,0.8744,0.4485
310,0.8749,0.2711
311,0.8753,0.4004
312,0.8753,0.3119
313,0.8761,0.4637
314,0.8761,0.3821
315,0.8766,0.3736
316,0.8773,0.4004
317,0.8775,0.2623
318,0.8779,0.3621
319,0.8786,0.3183
320,0.8788,0.4047
321,0.8793,0.3778
322,0.8798,0.3116
323,0.8800,0.4161
324,0.8804,0.2763
325,0.8812,0.4501
326,0.8812,0.4041
327,0.8817,0.3790
328,0.8822,0.3921
329,0.8825,0.3414
330,0.8831,0.2571
331,0.8837,0.3273
332,0.8842,0.3239
333,0.8844,0.2055
334,0.8845,0.3140
335,0.8853,0.4256
336,0.8856,0.2791
337,0.8858,0.2838
338,0.8863,0.4234
339,0.8864,0.3186
340,0.8870,0.3144
341,0.8876,0.2775
342,0.8882,0.3354
343,0.8878,0.2656
344,0.8883,0.3381
345,0.8887,0.2851
346,0.8893,0.2298
347,0.8901,0.2101
348,0.8895,0.4273
349,0.8902,0.4191
350,0.8912,0.2311
351,0.8911,0.3730
352,0.8914,0.3807
353,0.8919,0.4479
354,0.8926,0.2597
355,0.8929,0.4228
356,0.8925,0.2531
357,0.8937,0.2649
358,0.8939,0.2641
359,0.8943,0.4043
360,0.8945,0.4930
361,0.8950,0.1989
362,0.8957,0.2725
363,0.8957,0.3272
364,0.8955,0.3614
365,0.8959,0.3594
366,0.8966,0.2359
367,0.8970,0.3803
368,0.8970,0.3243
369,0.8975,0.3873
370,0.8982,0.3613
371,0.8981,0.3336
372,0.8990,0.3254
373,0.8988,0.3077
374,0.8990,0.3210
375,0.8995,0.4441
376,0.9003,0.3394
377,0.9001,0.4363
378,0.9005,0.4303
379,0.9007,0.3776
380,0.9018,0.2834
381,0.9021,0.3486
382,0.9022,0.2218
383,0.9022,0.3766
384,0.9023,0.3780
385,0.9029,0.3424
386,0.9033,0.3857
387,0.9041,0.2850
388,0.9039,0.4139
389,0.9043,0.3076
390,0.9049,0.1917
391,0.9047,0.4427
392,0.9053,0.2856
393,0.9059,0.2818
394,0.9057,0.2696
