Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.360891,0.5338,0.4412,50.59
1,0.314716,0.5630,0.4604,42.15
2,0.293942,0.5741,0.5111,40.87
3,0.279668,0.5809,0.4723,40.87
4,0.268260,0.5879,0.5152,40.91
5,0.258097,0.5945,0.4723,40.93
6,0.252617,0.5980,0.4699,41.08
7,0.245658,0.6020,0.5371,40.92
8,0.241228,0.6050,0.4592,40.98
9,0.235426,0.6094,0.4820,40.97
10,0.230126,0.6126,0.3327,41.03
11,0.226600,0.6165,0.5167,40.97
12,0.223470,0.6192,0.5215,40.98
13,0.220389,0.6212,0.4541,41.00
14,0.217148,0.6245,0.5337,41.02
15,0.214103,0.6266,0.4152,41.00
16,0.211953,0.6283,0.5288,40.99
17,0.208632,0.6305,0.4777,40.97
18,0.205980,0.6333,0.4661,40.98
19,0.204989,0.6335,0.5483,41.01
20,0.202258,0.6365,0.4919,41.02
21,0.200185,0.6368,0.4021,41.02
22,0.199221,0.6386,0.5290,41.03
23,0.195976,0.6421,0.3432,41.02
24,0.194049,0.6439,0.5267,41.05
25,0.192919,0.6454,0.5380,41.01
26,0.191296,0.6466,0.4795,40.99
27,0.189193,0.6475,0.4769,40.99
28,0.187642,0.6489,0.5090,41.12
29,0.185885,0.6512,0.5324,40.99
30,0.184842,0.6526,0.5390,41.05
31,0.181794,0.6548,0.5300,41.01
32,0.180744,0.6558,0.3902,41.09
33,0.179685,0.6567,0.4560,41.01
34,0.177692,0.6591,0.3141,40.97
35,0.175746,0.6610,0.3760,40.95
36,0.174620,0.6619,0.4793,40.94
37,0.172861,0.6638,0.3857,40.94
38,0.171762,0.6651,0.5331,40.98
39,0.170728,0.6654,0.4565,40.99
40,0.168352,0.6677,0.4197,40.95
41,0.168271,0.6687,0.3516,41.01
42,0.166611,0.6697,0.3586,40.93
43,0.165576,0.6713,0.5070,40.93
44,0.163601,0.6728,0.3143,40.99
45,0.162771,0.6738,0.4273,40.91
46,0.161153,0.6759,0.4714,40.90
47,0.160260,0.6760,0.3743,40.94
48,0.156912,0.6800,0.4366,40.90
49,0.156754,0.6797,0.4923,40.93
50,0.155717,0.6812,0.5171,40.91
51,0.153925,0.6833,0.5392,40.94
52,0.152443,0.6846,0.5002,40.96
53,0.151946,0.6855,0.5268,40.91
54,0.150335,0.6870,0.3758,40.92
55,0.149848,0.6877,0.4711,40.93
56,0.147339,0.6901,0.4899,40.98
57,0.146467,0.6917,0.5094,40.96
58,0.146039,0.6921,0.3206,40.98
59,0.144708,0.6941,0.5108,41.00
60,0.144142,0.6943,0.4937,40.98
61,0.142476,0.6961,0.5274,40.93
62,0.141285,0.6974,0.4827,40.91
63,0.140054,0.6991,0.2907,40.91
64,0.138625,0.7015,0.4597,40.96
65,0.139002,0.7014,0.3302,40.96
66,0.136689,0.7032,0.3715,40.96
67,0.136706,0.7039,0.3529,40.95
68,0.135155,0.7057,0.1676,41.01
69,0.134389,0.7067,0.5296,40.95
70,0.132986,0.7083,0.3375,40.95
71,0.132692,0.7086,0.4022,40.94
72,0.131832,0.7099,0.3208,40.92
73,0.131184,0.7106,0.3438,40.96
74,0.130261,0.7118,0.3307,41.04
75,0.128929,0.7139,0.5058,41.24
76,0.128650,0.7141,0.4913,40.97
77,0.128212,0.7152,0.3587,40.96
78,0.126642,0.7168,0.4358,40.97
79,0.126700,0.7171,0.4537,40.96
80,0.125503,0.7185,0.3971,40.97
81,0.125038,0.7192,0.4188,40.95
82,0.123906,0.7205,0.3257,40.92
83,0.123224,0.7214,0.3736,41.01
84,0.122826,0.7226,0.4491,40.97
85,0.121430,0.7241,0.3220,40.95
86,0.121701,0.7236,0.2028,40.95
87,0.120507,0.7260,0.2255,40.94
88,0.119373,0.7271,0.4437,40.93
89,0.119082,0.7279,0.2308,40.95
90,0.118223,0.7288,0.3374,40.94
91,0.117646,0.7303,0.4356,40.95
92,0.117492,0.7303,0.3401,40.94
93,0.116583,0.7314,0.3757,40.92
94,0.115843,0.7327,0.4363,40.92
95,0.115187,0.7339,0.2877,40.93
96,0.115541,0.7335,0.3201,40.93
97,0.114459,0.7347,0.1483,40.94
98,0.113554,0.7364,0.3349,40.95
99,0.113250,0.7370,0.2795,40.95
100,0.112037,0.7384,0.3502,40.94
101,0.112374,0.7383,0.2196,40.98
102,0.111240,0.7400,0.4618,40.95
103,0.110487,0.7413,0.2334,40.99
104,0.110672,0.7410,0.2881,40.94
105,0.109703,0.7428,0.4602,40.95
106,0.109422,0.7433,0.2955,41.00
107,0.108215,0.7449,0.1377,40.99
108,0.108259,0.7451,0.2946,40.97
109,0.106975,0.7468,0.3391,41.00
110,0.106522,0.7476,0.4148,40.99
111,0.105899,0.7488,0.4255,40.99
112,0.105937,0.7492,0.2933,40.98
113,0.105087,0.7503,0.1603,41.09
114,0.103844,0.7522,0.5389,40.95
115,0.104250,0.7515,0.3136,40.98
116,0.103178,0.7536,0.3491,40.94
117,0.102758,0.7540,0.3852,40.96
118,0.102627,0.7544,0.3395,40.97
119,0.101527,0.7563,0.4849,40.97
120,0.100808,0.7574,0.3006,40.97
121,0.100776,0.7577,0.4460,40.95
122,0.100038,0.7587,0.3261,41.05
123,0.099684,0.7595,0.3272,40.92
124,0.098946,0.7606,0.3566,40.93
125,0.098679,0.7611,0.2423,40.96
126,0.098313,0.7619,0.4183,40.95
127,0.097957,0.7625,0.3387,40.93
128,0.097123,0.7638,0.4990,40.94
129,0.096835,0.7644,0.4549,40.93
