Epoch,IOU_Train,IOU_Val
0,0.5274,0.5542
1,0.5649,0.4564
2,0.5765,0.5193
3,0.5853,0.5347
4,0.5909,0.5185
5,0.5967,0.4441
6,0.6009,0.4483
7,0.6041,0.5191
8,0.6089,0.5310
9,0.6116,0.5039
10,0.6140,0.4971
11,0.6170,0.4671
12,0.6195,0.5131
13,0.6220,0.3980
14,0.6253,0.5381
15,0.6278,0.4973
16,0.6296,0.5486
17,0.6331,0.5317
18,0.6346,0.5208
19,0.6383,0.4990
20,0.6412,0.5181
21,0.6432,0.4412
22,0.6468,0.3920
23,0.6479,0.4705
24,0.6521,0.5483
25,0.6538,0.5055
26,0.6558,0.4272
27,0.6593,0.4969
28,0.6618,0.4499
29,0.6638,0.5231
30,0.6656,0.5265
31,0.6677,0.3815
32,0.6682,0.4551
33,0.6717,0.4888
34,0.6711,0.5118
35,0.6778,0.4991
36,0.6755,0.5235
37,0.6800,0.5438
38,0.6796,0.5217
39,0.6824,0.4115
40,0.6844,0.4596
41,0.6848,0.5108
42,0.6878,0.5379
43,0.6867,0.3723
44,0.6894,0.4793
45,0.6917,0.4625
46,0.6920,0.4823
47,0.6931,0.4080
48,0.6971,0.3456
49,0.6947,0.3795
50,0.6982,0.4421
51,0.6971,0.3550
52,0.6987,0.4105
53,0.6996,0.4118
54,0.7016,0.3385
55,0.7013,0.4991
56,0.7029,0.4549
57,0.7047,0.3831
58,0.7037,0.4332
59,0.7049,0.4085
60,0.7028,0.4459
61,0.7068,0.2591
62,0.7084,0.4624
63,0.7115,0.4345
64,0.7104,0.4089
65,0.7112,0.3876
66,0.7133,0.2732
67,0.7140,0.3587
68,0.7154,0.3246
69,0.7166,0.4328
70,0.7169,0.4533
71,0.7170,0.3572
72,0.7166,0.4790
73,0.7202,0.4789
74,0.7188,0.3366
75,0.7148,0.4044
76,0.7194,0.4378
77,0.7209,0.3443
78,0.7206,0.4632
79,0.7216,0.4558
80,0.7192,0.2743
81,0.7240,0.4613
82,0.7249,0.4272
83,0.7234,0.4350
84,0.7274,0.4144
85,0.7254,0.4015
86,0.7262,0.4092
87,0.7300,0.4188
88,0.7290,0.3582
89,0.7318,0.3754
90,0.7310,0.4538
91,0.7319,0.3209
92,0.7293,0.4453
93,0.7346,0.3752
94,0.7333,0.4071
95,0.7355,0.4514
96,0.7359,0.4397
97,0.7358,0.4138
98,0.7385,0.3360
99,0.7358,0.4278
100,0.7385,0.4094
101,0.7416,0.3292
102,0.7396,0.4017
103,0.7404,0.2938
104,0.7435,0.4355
105,0.7432,0.3520
106,0.7429,0.3225
107,0.7467,0.4026
108,0.7449,0.3951
109,0.7446,0.3975
110,0.7466,0.4080
111,0.7463,0.3129
112,0.7482,0.3466
113,0.7477,0.3235
114,0.7479,0.3751
115,0.7478,0.4213
116,0.7525,0.3278
117,0.7516,0.4008
118,0.7499,0.3685
119,0.7528,0.4179
120,0.7477,0.3524
