Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.358917,0.5274,0.5542,41.71
1,0.309984,0.5649,0.4564,40.93
2,0.287900,0.5765,0.5193,40.89
3,0.275052,0.5853,0.5347,40.99
4,0.265502,0.5909,0.5185,40.88
5,0.257455,0.5967,0.4441,42.21
6,0.252137,0.6009,0.4483,40.94
7,0.246061,0.6041,0.5191,41.31
8,0.240106,0.6089,0.5310,40.97
9,0.235703,0.6116,0.5039,40.98
10,0.232333,0.6140,0.4971,43.45
11,0.227916,0.6170,0.4671,42.82
12,0.222781,0.6195,0.5131,43.42
13,0.220302,0.6220,0.3980,42.67
14,0.217032,0.6253,0.5381,40.98
15,0.212981,0.6278,0.4973,40.95
16,0.210516,0.6296,0.5486,41.19
17,0.206116,0.6331,0.5317,40.95
18,0.204208,0.6346,0.5208,41.07
19,0.199956,0.6383,0.4990,40.96
20,0.196759,0.6412,0.5181,41.06
21,0.194257,0.6432,0.4412,40.96
22,0.190506,0.6468,0.3920,41.17
23,0.189169,0.6479,0.4705,40.98
24,0.184751,0.6521,0.5483,40.96
25,0.182807,0.6538,0.5055,41.05
26,0.180192,0.6558,0.4272,41.17
27,0.177709,0.6593,0.4969,41.00
28,0.174438,0.6618,0.4499,41.08
29,0.172615,0.6638,0.5231,41.41
30,0.170569,0.6656,0.5265,41.15
31,0.168309,0.6677,0.3815,40.95
32,0.168574,0.6682,0.4551,40.90
33,0.164716,0.6717,0.4888,40.89
34,0.166132,0.6711,0.5118,41.00
35,0.159663,0.6778,0.4991,40.91
36,0.160724,0.6755,0.5235,41.09
37,0.157307,0.6800,0.5438,41.13
38,0.158215,0.6796,0.5217,41.01
39,0.154557,0.6824,0.4115,42.15
40,0.153057,0.6844,0.4596,41.09
41,0.153214,0.6848,0.5108,40.93
42,0.150168,0.6878,0.5379,40.92
43,0.151295,0.6867,0.3723,41.00
44,0.148678,0.6894,0.4793,40.96
45,0.146856,0.6917,0.4625,41.04
46,0.146550,0.6920,0.4823,41.00
47,0.146070,0.6931,0.4080,40.99
48,0.142376,0.6971,0.3456,41.13
49,0.144221,0.6947,0.3795,40.87
50,0.141508,0.6982,0.4421,41.00
51,0.141760,0.6971,0.3550,40.94
52,0.141632,0.6987,0.4105,40.94
53,0.140688,0.6996,0.4118,40.90
54,0.138843,0.7016,0.3385,40.91
55,0.138876,0.7013,0.4991,41.03
56,0.137946,0.7029,0.4549,44.39
57,0.136807,0.7047,0.3831,41.51
58,0.137611,0.7037,0.4332,41.26
59,0.136118,0.7049,0.4085,41.68
60,0.139270,0.7028,0.4459,42.45
61,0.134386,0.7068,0.2591,43.79
62,0.133704,0.7084,0.4624,41.29
63,0.131051,0.7115,0.4345,41.01
64,0.132128,0.7104,0.4089,41.07
65,0.131143,0.7112,0.3876,40.84
66,0.129785,0.7133,0.2732,42.06
67,0.129422,0.7140,0.3587,40.86
68,0.128361,0.7154,0.3246,40.87
69,0.127364,0.7166,0.4328,41.08
70,0.127118,0.7169,0.4533,40.91
71,0.127397,0.7170,0.3572,41.05
72,0.127463,0.7166,0.4790,41.09
73,0.124607,0.7202,0.4789,42.35
74,0.125634,0.7188,0.3366,42.18
75,0.128985,0.7148,0.4044,42.39
76,0.124713,0.7194,0.4378,42.14
77,0.124202,0.7209,0.3443,43.00
78,0.124231,0.7206,0.4632,41.09
79,0.123362,0.7216,0.4558,40.86
80,0.126301,0.7192,0.2743,40.96
81,0.121480,0.7240,0.4613,40.82
82,0.121237,0.7249,0.4272,41.77
83,0.122016,0.7234,0.4350,41.01
84,0.119279,0.7274,0.4144,41.25
85,0.120964,0.7254,0.4015,41.46
86,0.120713,0.7262,0.4092,41.53
87,0.117872,0.7300,0.4188,42.05
88,0.118173,0.7290,0.3582,41.05
89,0.116447,0.7318,0.3754,41.03
90,0.116717,0.7310,0.4538,40.95
91,0.116267,0.7319,0.3209,41.25
92,0.118140,0.7293,0.4453,40.96
93,0.114572,0.7346,0.3752,41.10
94,0.115326,0.7333,0.4071,41.05
95,0.113773,0.7355,0.4514,41.00
96,0.113454,0.7359,0.4397,40.98
97,0.113693,0.7358,0.4138,41.69
98,0.111982,0.7385,0.3360,42.48
99,0.113984,0.7358,0.4278,41.18
100,0.112323,0.7385,0.4094,41.22
101,0.109723,0.7416,0.3292,41.28
102,0.111395,0.7396,0.4017,41.38
103,0.110559,0.7404,0.2938,41.55
104,0.108522,0.7435,0.4355,41.69
105,0.109035,0.7432,0.3520,41.75
106,0.109040,0.7429,0.3225,41.16
107,0.106468,0.7467,0.4026,41.52
108,0.107877,0.7449,0.3951,42.91
109,0.108228,0.7446,0.3975,41.40
110,0.106829,0.7466,0.4080,40.89
111,0.107120,0.7463,0.3129,42.67
112,0.106003,0.7482,0.3466,41.15
113,0.106520,0.7477,0.3235,42.45
114,0.106010,0.7479,0.3751,41.17
115,0.106341,0.7478,0.4213,41.02
116,0.103074,0.7525,0.3278,42.25
117,0.104018,0.7516,0.4008,42.41
118,0.105903,0.7499,0.3685,41.17
119,0.102846,0.7528,0.4179,41.00
120,0.106599,0.7477,0.3524,41.06
121,0.101558,0.7552,0.3680,41.41
122,0.103825,0.7520,0.4263,41.59
123,0.101051,0.7562,0.3923,40.98
124,0.102758,0.7539,0.4151,41.06
125,0.100604,0.7571,0.4412,41.31
126,0.102320,0.7544,0.4448,41.42
127,0.100482,0.7570,0.3234,41.14
128,0.100475,0.7575,0.4667,41.22
129,0.100976,0.7569,0.4071,41.05
130,0.100195,0.7578,0.5144,41.15
131,0.098512,0.7605,0.3642,41.01
132,0.098336,0.7610,0.3304,40.98
133,0.097615,0.7621,0.4072,41.30
134,0.097758,0.7623,0.5117,41.24
