epoch 97 loss: 0.21500088423490524, elapse time: 5.023380517959595
epoch 98 loss: 0.21208116486668588, elapse time: 5.036389112472534
epoch 99 loss: 0.20991925448179244, elapse time: 5.032148122787476
epoch 100 loss: 0.20907025262713433, elapse time: 5.0296525955200195
epoch 101 loss: 0.2098231293261051, elapse time: 5.03787899017334
epoch 102 loss: 0.21123487502336502, elapse time: 5.02890157699585
epoch 103 loss: 0.2077558793127537, elapse time: 5.042176246643066
epoch 104 loss: 0.2085090696811676, elapse time: 5.017665863037109
epoch 105 loss: 0.21014252603054046, elapse time: 5.027839422225952
epoch 106 loss: 0.20831093490123748, elapse time: 5.037933588027954
epoch 107 loss: 0.2047199696302414, elapse time: 5.029406785964966
epoch 108 loss: 0.20571865662932395, elapse time: 5.035529136657715
epoch 109 loss: 0.20936321392655372, elapse time: 5.044118165969849
epoch 110 loss: 0.20607747063040732, elapse time: 5.01964807510376
epoch 111 loss: 0.2122611902654171, elapse time: 5.021584749221802
epoch 112 loss: 0.20790185853838922, elapse time: 5.0259740352630615
epoch 113 loss: 0.20468703731894494, elapse time: 5.022562742233276
epoch 114 loss: 0.20976138040423392, elapse time: 5.039715766906738
epoch 115 loss: 0.20612188056111336, elapse time: 5.020696640014648
epoch 116 loss: 0.20905790477991104, elapse time: 5.015670537948608
epoch 117 loss: 0.20627242475748062, elapse time: 5.035259485244751
epoch 118 loss: 0.20693943724036218, elapse time: 5.02269721031189
epoch 119 loss: 0.2061675511300564, elapse time: 5.022433757781982
epoch 120 loss: 0.20482393801212312, elapse time: 5.021349668502808
epoch 121 loss: 0.2016860656440258, elapse time: 5.020165681838989
epoch 122 loss: 0.20169660970568656, elapse time: 5.0429298877716064
epoch 123 loss: 0.2017641022801399, elapse time: 5.0386247634887695
epoch 124 loss: 0.20108946934342384, elapse time: 5.022669792175293
epoch 125 loss: 0.2065066248178482, elapse time: 5.0480687618255615
epoch 126 loss: 0.20307228043675424, elapse time: 5.028475761413574
epoch 127 loss: 0.20478843972086908, elapse time: 5.039805173873901
epoch 128 loss: 0.20478857681155205, elapse time: 5.029294967651367
epoch 129 loss: 0.20348541736602782, elapse time: 5.031749963760376
epoch 130 loss: 0.2007952116429806, elapse time: 5.019784450531006
epoch 131 loss: 0.20211111456155778, elapse time: 5.031586647033691
epoch 132 loss: 0.2018800489604473, elapse time: 5.030576944351196
epoch 133 loss: 0.19863362610340118, elapse time: 5.026570558547974
epoch 134 loss: 0.2005972109735012, elapse time: 5.020296335220337
epoch 135 loss: 0.19997184425592424, elapse time: 5.026355504989624
epoch 136 loss: 0.20498975440859796, elapse time: 5.035832643508911
epoch 137 loss: 0.20477009043097497, elapse time: 5.034138202667236
epoch 138 loss: 0.199522465467453, elapse time: 5.020237922668457
epoch 139 loss: 0.20097534582018853, elapse time: 5.027331590652466
epoch 140 loss: 0.20048482492566108, elapse time: 5.01996922492981
epoch 141 loss: 0.19856334179639817, elapse time: 5.039882183074951
epoch 142 loss: 0.1948776826262474, elapse time: 5.026819229125977
