Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.357260,0.5310,0.5009,42.12
1,0.307156,0.5636,0.5113,40.89
2,0.286280,0.5751,0.5386,40.85
3,0.269932,0.5855,0.5540,40.87
4,0.259827,0.5918,0.4820,41.28
5,0.252788,0.5955,0.4280,40.88
6,0.244802,0.6006,0.4882,40.86
7,0.239491,0.6060,0.4702,42.45
8,0.231453,0.6097,0.4748,45.02
9,0.227977,0.6127,0.5210,44.48
10,0.221226,0.6182,0.1927,44.05
11,0.216740,0.6224,0.5196,42.99
12,0.213159,0.6263,0.5185,40.96
13,0.209660,0.6284,0.4236,40.97
14,0.203711,0.6321,0.5277,40.96
15,0.199298,0.6370,0.4931,41.06
16,0.195372,0.6389,0.5396,41.60
17,0.192638,0.6420,0.4844,40.94
18,0.189157,0.6456,0.4610,40.97
19,0.185720,0.6497,0.4948,40.90
20,0.181906,0.6520,0.4389,40.97
21,0.181063,0.6539,0.5027,41.00
22,0.176599,0.6580,0.4453,40.91
23,0.175119,0.6590,0.5003,41.02
24,0.170347,0.6640,0.4366,40.93
25,0.169059,0.6648,0.2671,41.03
26,0.167578,0.6666,0.4249,40.98
27,0.163835,0.6703,0.5006,41.06
28,0.162049,0.6733,0.4763,41.02
29,0.160417,0.6742,0.2994,40.94
30,0.158028,0.6771,0.4626,40.96
31,0.156151,0.6792,0.4284,40.94
32,0.154932,0.6803,0.3968,41.02
33,0.152977,0.6827,0.3054,41.12
34,0.151513,0.6848,0.4196,40.96
35,0.148617,0.6881,0.2239,40.94
36,0.148545,0.6882,0.3927,42.00
37,0.146559,0.6905,0.4374,42.95
38,0.145369,0.6919,0.4341,40.88
39,0.143017,0.6949,0.3307,40.88
40,0.142356,0.6959,0.4482,40.89
41,0.141187,0.6972,0.4656,40.90
42,0.140542,0.6975,0.4758,40.91
43,0.139259,0.6998,0.2762,40.90
44,0.138239,0.7005,0.4705,40.91
45,0.136664,0.7033,0.3136,40.87
46,0.136472,0.7030,0.2946,40.95
47,0.135039,0.7052,0.3381,40.93
48,0.133952,0.7063,0.3717,40.95
49,0.132866,0.7079,0.3698,40.90
50,0.132003,0.7089,0.3508,40.89
51,0.131794,0.7095,0.4303,40.89
52,0.130076,0.7119,0.3381,40.90
53,0.129552,0.7124,0.3947,40.90
54,0.128722,0.7138,0.2690,41.00
55,0.127891,0.7148,0.2563,41.05
56,0.126800,0.7164,0.3025,40.89
57,0.126572,0.7169,0.3717,40.89
58,0.125297,0.7183,0.3300,42.02
59,0.125017,0.7188,0.2773,40.86
60,0.123932,0.7207,0.4557,40.86
61,0.122718,0.7216,0.3008,40.87
62,0.122563,0.7223,0.4660,41.08
63,0.122076,0.7231,0.2685,40.94
64,0.120844,0.7249,0.4078,40.92
65,0.120306,0.7254,0.3593,40.90
66,0.119839,0.7266,0.4320,40.91
67,0.118687,0.7282,0.4527,40.91
68,0.117556,0.7295,0.3763,40.92
69,0.117551,0.7299,0.2778,40.93
70,0.116717,0.7309,0.4510,40.87
71,0.115781,0.7324,0.3397,40.88
72,0.114930,0.7333,0.1673,40.86
73,0.114297,0.7347,0.2354,40.88
74,0.113158,0.7360,0.3300,40.91
75,0.113291,0.7362,0.1750,41.23
76,0.111876,0.7383,0.2821,40.99
77,0.111812,0.7386,0.2336,40.95
78,0.111161,0.7400,0.3997,40.97
79,0.110389,0.7408,0.2335,41.04
80,0.109079,0.7426,0.4231,41.63
81,0.108705,0.7437,0.3430,41.18
82,0.108558,0.7433,0.3979,42.34
83,0.107439,0.7455,0.3180,41.24
84,0.106733,0.7464,0.2831,40.99
85,0.107142,0.7460,0.3869,41.20
86,0.105511,0.7492,0.3366,41.03
87,0.105098,0.7496,0.3784,41.00
88,0.104191,0.7508,0.2843,40.98
89,0.104189,0.7510,0.3022,40.99
90,0.102984,0.7532,0.2194,40.92
91,0.102602,0.7538,0.3888,40.91
92,0.101820,0.7553,0.3065,40.92
93,0.101678,0.7555,0.3501,41.04
94,0.100544,0.7576,0.2010,40.99
95,0.100052,0.7580,0.2686,40.94
96,0.099400,0.7592,0.4082,40.97
97,0.098825,0.7602,0.3316,40.99
98,0.098297,0.7611,0.3472,40.95
99,0.097312,0.7629,0.4167,40.97
100,0.097293,0.7631,0.4101,41.05
101,0.095950,0.7654,0.4621,41.03
102,0.096046,0.7654,0.1828,41.02
103,0.095421,0.7664,0.3269,41.01
104,0.094667,0.7679,0.4494,41.01
105,0.094475,0.7683,0.2240,41.00
106,0.093731,0.7697,0.4176,40.96
107,0.092800,0.7712,0.2624,41.04
108,0.092228,0.7724,0.3950,41.08
109,0.092186,0.7724,0.5037,41.14
110,0.091703,0.7732,0.2885,41.01
111,0.090970,0.7748,0.2691,41.03
112,0.090165,0.7760,0.2383,41.00
113,0.089446,0.7772,0.4002,41.06
114,0.089162,0.7780,0.2314,40.96
115,0.088547,0.7792,0.3014,40.98
116,0.088400,0.7796,0.3473,41.09
117,0.087300,0.7813,0.3407,41.11
118,0.087279,0.7816,0.3835,41.03
119,0.086545,0.7829,0.4948,41.02
120,0.085827,0.7841,0.2372,41.03
121,0.085707,0.7843,0.3906,41.10
122,0.084882,0.7862,0.4356,41.03
123,0.084340,0.7870,0.3417,41.05
124,0.083961,0.7879,0.4581,41.07
125,0.083572,0.7882,0.3951,41.02
126,0.082863,0.7900,0.2823,41.05
127,0.082445,0.7906,0.1706,41.03
128,0.082092,0.7915,0.2231,41.23
129,0.081533,0.7926,0.4222,41.10
130,0.080826,0.7938,0.2567,41.00
131,0.080486,0.7946,0.3174,41.22
132,0.080106,0.7953,0.3312,41.00
133,0.079610,0.7963,0.3105,41.01
134,0.079043,0.7973,0.2918,41.02
135,0.078499,0.7982,0.3309,41.01
136,0.078343,0.7987,0.4147,41.04
137,0.077790,0.7999,0.2305,42.29
138,0.077333,0.8008,0.2035,41.06
139,0.076992,0.8015,0.3407,41.00
140,0.076188,0.8030,0.3582,40.97
141,0.076283,0.8027,0.3556,41.02
142,0.075312,0.8048,0.4520,41.42
143,0.074951,0.8052,0.2209,41.04
144,0.074600,0.8061,0.1436,41.04
145,0.074002,0.8072,0.1336,41.01
146,0.073974,0.8072,0.3038,41.02
147,0.073527,0.8083,0.3725,41.33
148,0.073102,0.8090,0.1769,41.10
149,0.072772,0.8098,0.3258,41.03
150,0.072423,0.8106,0.1892,41.05
151,0.072102,0.8112,0.2826,40.83
152,0.071885,0.8117,0.3233,41.26
153,0.070932,0.8137,0.3078,40.86
154,0.070706,0.8141,0.3088,40.83
155,0.070639,0.8144,0.2947,41.24
156,0.070031,0.8155,0.3641,40.78
157,0.069513,0.8170,0.4062,40.83
158,0.069443,0.8167,0.4828,40.76
159,0.069008,0.8177,0.4076,40.76
160,0.068546,0.8185,0.4872,40.76
161,0.068301,0.8192,0.3250,40.89
162,0.068045,0.8199,0.3806,40.81
163,0.067850,0.8203,0.2469,40.98
164,0.067169,0.8216,0.4329,40.88
165,0.067084,0.8219,0.2112,40.85
166,0.067043,0.8221,0.4319,40.84
167,0.066421,0.8232,0.2248,40.84
168,0.066317,0.8237,0.3514,40.86
169,0.065622,0.8249,0.2654,40.79
170,0.065515,0.8251,0.3271,40.78
171,0.065131,0.8259,0.3561,40.82
172,0.064935,0.8265,0.3339,40.77
173,0.064942,0.8267,0.3389,40.77
174,0.064464,0.8277,0.3613,40.84
175,0.064195,0.8280,0.2974,40.81
176,0.063964,0.8287,0.3437,40.79
177,0.063549,0.8296,0.4021,40.82
178,0.063084,0.8307,0.2974,40.83
179,0.063068,0.8308,0.2722,40.79
180,0.062818,0.8312,0.3308,40.80
181,0.062423,0.8320,0.3097,40.80
182,0.062145,0.8328,0.2242,40.93
183,0.061989,0.8331,0.3599,40.76
184,0.061497,0.8344,0.2454,40.76
185,0.061418,0.8345,0.2901,40.74
186,0.061076,0.8352,0.3415,40.86
187,0.060780,0.8356,0.3832,40.81
188,0.060629,0.8362,0.4804,41.22
189,0.060115,0.8373,0.2905,40.75
190,0.060178,0.8373,0.3483,40.83
191,0.060085,0.8377,0.2321,40.80
192,0.059464,0.8387,0.4255,40.99
193,0.059169,0.8398,0.2304,40.94
194,0.059073,0.8397,0.2717,40.80
195,0.058876,0.8404,0.3734,40.78
196,0.058785,0.8409,0.1475,40.96
197,0.058331,0.8416,0.4047,40.78
198,0.058040,0.8422,0.1953,40.86
199,0.057845,0.8428,0.2677,40.91
200,0.057722,0.8431,0.3106,40.80
201,0.057299,0.8440,0.3829,40.84
202,0.057161,0.8446,0.2559,40.79
203,0.056783,0.8452,0.2364,40.79
204,0.056628,0.8460,0.3761,42.19
205,0.056620,0.8458,0.3999,41.11
206,0.056175,0.8469,0.4250,40.84
207,0.056238,0.8469,0.2875,40.83
208,0.055876,0.8480,0.4865,40.84
209,0.055174,0.8494,0.3765,41.03
210,0.055311,0.8492,0.4629,40.86
211,0.055031,0.8500,0.4573,41.04
212,0.054620,0.8507,0.2880,40.86
213,0.054638,0.8508,0.3464,40.83
214,0.054250,0.8518,0.3460,40.93
215,0.054016,0.8523,0.3379,40.84
216,0.053747,0.8532,0.2729,40.82
217,0.053671,0.8533,0.2432,40.84
218,0.053410,0.8540,0.2499,40.86
219,0.053286,0.8542,0.4422,40.84
220,0.053177,0.8550,0.4553,40.88
221,0.052754,0.8555,0.4529,40.77
222,0.052671,0.8558,0.2656,42.04
223,0.052282,0.8567,0.3522,40.81
224,0.052224,0.8569,0.4521,40.78
225,0.051935,0.8577,0.2888,40.79
226,0.051746,0.8582,0.3086,40.81
227,0.051445,0.8590,0.3773,40.77
228,0.051312,0.8594,0.3967,40.88
229,0.051252,0.8595,0.1867,42.15
230,0.050752,0.8607,0.3776,40.78
231,0.050445,0.8616,0.3336,40.78
232,0.050493,0.8616,0.3753,40.77
233,0.050085,0.8626,0.3794,40.80
234,0.049968,0.8629,0.4672,40.79
235,0.049797,0.8633,0.3193,40.82
236,0.049680,0.8636,0.1575,40.84
237,0.049217,0.8647,0.3281,40.83
238,0.049419,0.8644,0.5030,41.11
239,0.048936,0.8658,0.3487,40.81
240,0.048796,0.8658,0.3726,40.80
241,0.048379,0.8669,0.3740,40.81
242,0.048549,0.8667,0.3408,40.79
243,0.048248,0.8676,0.4389,40.81
244,0.048193,0.8680,0.3922,40.82
245,0.047657,0.8691,0.3026,40.78
246,0.047660,0.8691,0.3261,40.78
247,0.047263,0.8702,0.3169,40.78
248,0.047220,0.8704,0.2713,40.97
249,0.046810,0.8713,0.2336,40.83
250,0.046926,0.8711,0.3119,40.84
251,0.046513,0.8721,0.3998,40.84
252,0.046335,0.8728,0.3228,40.85
253,0.046122,0.8731,0.3029,40.83
254,0.046277,0.8727,0.2715,40.86
255,0.045678,0.8745,0.4752,40.82
256,0.045767,0.8744,0.3187,41.18
257,0.045532,0.8751,0.2409,40.83
258,0.045302,0.8757,0.3037,40.84
259,0.045190,0.8760,0.3783,40.83
260,0.044791,0.8770,0.4371,40.85
261,0.044744,0.8769,0.3275,40.85
262,0.044623,0.8775,0.2786,40.83
