Epoch,IOU_Train,IOU_Val
265,0.8787,0.3232
266,0.8792,0.2288
267,0.8797,0.4838
268,0.8802,0.2748
269,0.8808,0.2440
270,0.8812,0.2888
271,0.8820,0.3242
272,0.8819,0.3175
273,0.8829,0.2331
274,0.8835,0.3233
275,0.8834,0.4515
276,0.8842,0.3770
277,0.8847,0.4759
278,0.8854,0.2797
279,0.8853,0.3091
280,0.8860,0.2671
281,0.8861,0.3681
282,0.8870,0.2897
283,0.8872,0.4362
284,0.8883,0.4072
285,0.8885,0.3977
286,0.8892,0.2839
287,0.8895,0.3278
288,0.8890,0.2619
289,0.8899,0.3047
290,0.8905,0.4385
291,0.8907,0.3772
292,0.8916,0.4433
293,0.8916,0.4540
294,0.8928,0.4640
295,0.8925,0.4859
296,0.8928,0.2454
297,0.8932,0.2228
298,0.8943,0.3179
299,0.8948,0.2381
300,0.8948,0.3051
301,0.8948,0.2260
302,0.8957,0.3829
303,0.8964,0.4233
304,0.8969,0.4260
305,0.8965,0.2775
306,0.8977,0.2469
307,0.8974,0.2803
308,0.8978,0.3149
309,0.8987,0.2702
310,0.8989,0.3543
311,0.8991,0.3532
312,0.8996,0.4503
313,0.9001,0.2908
314,0.9000,0.3482
315,0.9011,0.3729
316,0.9012,0.4520
317,0.9015,0.3093
318,0.9021,0.4409
319,0.9031,0.3606
320,0.9024,0.2200
321,0.9032,0.2316
322,0.9036,0.3135
323,0.9043,0.3736
324,0.9042,0.3911
325,0.9051,0.4341
326,0.9047,0.2921
327,0.9054,0.3350
328,0.9053,0.2986
329,0.9060,0.1975
330,0.9064,0.3240
331,0.9071,0.3639
332,0.9075,0.4511
333,0.9075,0.3262
334,0.9080,0.2185
335,0.9084,0.4638
336,0.9082,0.4477
337,0.9089,0.2824
338,0.9094,0.3223
339,0.9104,0.3551
340,0.9102,0.2757
341,0.9102,0.3674
342,0.9106,0.4442
343,0.9113,0.4328
344,0.9118,0.5193
345,0.9118,0.4226
346,0.9121,0.3205
347,0.9128,0.4284
348,0.9127,0.4010
349,0.9133,0.2366
350,0.9133,0.2776
351,0.9139,0.3166
352,0.9142,0.3178
353,0.9143,0.2650
354,0.9147,0.2617
355,0.9153,0.2489
356,0.9156,0.4441
357,0.9155,0.2968
358,0.9159,0.2747
359,0.9164,0.3469
360,0.9167,0.2740
361,0.9168,0.2484
362,0.9177,0.4128
363,0.9176,0.3887
364,0.9178,0.3594
365,0.9181,0.4745
366,0.9187,0.4222
367,0.9184,0.2460
368,0.9186,0.4226
369,0.9196,0.3372
370,0.9196,0.3054
371,0.9203,0.3510
372,0.9208,0.3294
373,0.9205,0.3711
374,0.9210,0.2344
375,0.9210,0.3580
376,0.9216,0.3268
377,0.9218,0.3124
378,0.9220,0.2850
379,0.9219,0.2855
380,0.9229,0.4470
381,0.9226,0.3228
382,0.9232,0.3517
383,0.9238,0.2118
384,0.9243,0.3088
385,0.9237,0.3505
386,0.9245,0.3685
387,0.9242,0.4437
388,0.9251,0.2155
389,0.9252,0.3166
390,0.9251,0.2421
391,0.9256,0.3577
392,0.9258,0.4969
393,0.9259,0.3149
394,0.9266,0.3619
395,0.9269,0.4228
396,0.9272,0.4587
397,0.9272,0.3318
398,0.9276,0.2820
399,0.9280,0.4143
400,0.9275,0.3062
401,0.9286,0.2900
402,0.9292,0.4237
403,0.9290,0.2879
404,0.9295,0.2097
405,0.9293,0.4185
406,0.9291,0.2622
407,0.9302,0.3201
408,0.9300,0.3303
409,0.9304,0.2628
410,0.9313,0.3352
411,0.9311,0.4007
412,0.9313,0.4366
413,0.9314,0.1714
414,0.9316,0.3322
415,0.9321,0.4201
416,0.9318,0.3948
417,0.9326,0.4419
418,0.9324,0.3699
419,0.9328,0.2833
420,0.9331,0.3240
421,0.9334,0.2954
422,0.9336,0.4237
423,0.9336,0.4167
424,0.9338,0.4281
425,0.9342,0.4090
426,0.9344,0.2708
427,0.9350,0.3896
428,0.9349,0.3053
429,0.9353,0.3952
430,0.9352,0.1886
431,0.9355,0.3094
432,0.9360,0.2338
433,0.9360,0.1858
434,0.9365,0.3319
435,0.9365,0.2861
436,0.9366,0.4205
437,0.9368,0.3237
438,0.9365,0.4071
439,0.9375,0.2991
440,0.9375,0.2405
441,0.9384,0.2275
442,0.9380,0.3679
443,0.9382,0.3906
444,0.9388,0.3983
445,0.9383,0.2982
446,0.9388,0.2098
447,0.9391,0.4167
448,0.9392,0.3173
449,0.9391,0.3784
450,0.9400,0.3760
451,0.9401,0.2574
452,0.9401,0.4851
453,0.9404,0.3005
454,0.9407,0.3247
455,0.9410,0.3890
456,0.9411,0.1824
457,0.9410,0.2954
458,0.9416,0.4203
459,0.9416,0.4018
460,0.9415,0.3620
461,0.9415,0.4583
462,0.9420,0.2489
463,0.9427,0.4931
464,0.9428,0.2421
465,0.9429,0.2996
466,0.9426,0.2916
467,0.9429,0.2774
468,0.9431,0.4556
469,0.9434,0.3671
470,0.9434,0.2864
471,0.9442,0.3643
472,0.9441,0.2958
473,0.9446,0.4041
474,0.9447,0.3430
475,0.9448,0.3805
476,0.9454,0.4456
477,0.9449,0.4128
478,0.9454,0.2639
479,0.9457,0.3526
480,0.9458,0.4031
481,0.9457,0.3321
482,0.9459,0.2861
483,0.9462,0.1985
484,0.9463,0.2456
485,0.9462,0.3708
486,0.9464,0.3845
487,0.9468,0.4490
488,0.9464,0.2847
489,0.9475,0.3323
490,0.9478,0.3907
491,0.9479,0.1802
492,0.9477,0.4399
493,0.9479,0.2558
494,0.9484,0.3855
495,0.9482,0.4327
496,0.9481,0.3713
497,0.9484,0.2763
498,0.9482,0.3409
499,0.9488,0.3015
500,0.9496,0.2112
501,0.9491,0.3793
502,0.9492,0.3751
503,0.9495,0.2807
504,0.9500,0.2961
505,0.9498,0.4667
506,0.9500,0.3614
507,0.9499,0.1822
508,0.9502,0.3857
509,0.9504,0.2955
510,0.9505,0.4008
511,0.9507,0.3655
512,0.9508,0.1882
513,0.9510,0.2645
514,0.9511,0.2034
515,0.9518,0.3125
516,0.9520,0.4151
517,0.9515,0.3662
518,0.9517,0.3182
519,0.9524,0.3833
520,0.9517,0.3703
521,0.9528,0.4301
522,0.9527,0.2574
523,0.9530,0.4354
524,0.9527,0.3393
525,0.9531,0.3145
526,0.9534,0.3411
527,0.9532,0.4712
528,0.9532,0.3962
529,0.9535,0.3315
530,0.9537,0.4187
531,0.9543,0.3298
532,0.9540,0.2557
533,0.9541,0.4013
534,0.9541,0.3819
535,0.9544,0.2829
536,0.9548,0.2877
537,0.9549,0.2483
538,0.9549,0.3013
539,0.9548,0.3067
540,0.9555,0.2644
541,0.9553,0.2595
542,0.9554,0.3751
543,0.9554,0.3710
544,0.9552,0.3477
545,0.9554,0.4007
546,0.9559,0.3717
547,0.9560,0.3558
548,0.9562,0.2965
549,0.9566,0.1790
550,0.9566,0.4804
551,0.9563,0.2378
552,0.9565,0.2504
553,0.9566,0.4220
554,0.9567,0.2603
555,0.9573,0.3968
556,0.9576,0.3296
557,0.9576,0.4574
558,0.9580,0.3603
559,0.9578,0.3128
560,0.9574,0.3898
561,0.9579,0.3679
562,0.9579,0.3426
563,0.9584,0.2931
564,0.9586,0.4230
565,0.9583,0.2549
566,0.9584,0.4547
567,0.9588,0.1891
568,0.9585,0.3852
569,0.9591,0.3163
570,0.9590,0.3752
571,0.9597,0.1850
572,0.9589,0.4221
573,0.9596,0.3282
574,0.9597,0.2302
575,0.9599,0.2231
576,0.9594,0.2502
577,0.9598,0.3342
578,0.9599,0.2388
579,0.9601,0.2851
580,0.9603,0.2976
581,0.9601,0.4186
582,0.9607,0.4195
583,0.9609,0.3684
584,0.9608,0.3062
585,0.9606,0.3294
586,0.9612,0.3593
587,0.9611,0.4232
588,0.9609,0.2820
589,0.9617,0.3262
590,0.9614,0.3393
591,0.9611,0.2858
592,0.9615,0.3409
593,0.9616,0.4443
594,0.9620,0.3673
595,0.9620,0.3709
596,0.9615,0.3702
597,0.9617,0.3982
598,0.9624,0.3591
599,0.9625,0.4870
600,0.9627,0.3180
601,0.9626,0.3667
602,0.9623,0.3384
603,0.9627,0.4836
604,0.9631,0.3568
605,0.9629,0.3614
606,0.9632,0.3323
607,0.9633,0.4302
608,0.9632,0.3617
609,0.9636,0.2699
610,0.9637,0.3167
611,0.9638,0.4261
612,0.9644,0.4558
613,0.9640,0.3610
614,0.9639,0.2973
615,0.9641,0.2050
616,0.9644,0.2633
617,0.9650,0.3188
618,0.9648,0.2487
619,0.9646,0.3334
620,0.9646,0.2746
621,0.9647,0.4545
622,0.9647,0.3268
623,0.9649,0.3811
624,0.9654,0.4449
625,0.9650,0.3509
626,0.9653,0.3308
627,0.9655,0.4015
628,0.9658,0.4463
629,0.9658,0.4307
630,0.9658,0.3520
631,0.9657,0.3791
632,0.9656,0.3360
633,0.9660,0.3042
634,0.9662,0.3835
635,0.9663,0.3098
636,0.9665,0.3662
637,0.9666,0.3082
638,0.9663,0.2299
639,0.9667,0.3672
640,0.9666,0.4174
641,0.9661,0.2501
642,0.9665,0.2935
643,0.9667,0.3612
644,0.9667,0.2981
645,0.9671,0.3628
646,0.9672,0.3103
647,0.9673,0.3618
648,0.9675,0.3663
649,0.9675,0.3026
650,0.9675,0.4085
651,0.9676,0.4048
652,0.9677,0.3247
653,0.9680,0.3737
654,0.9681,0.2578
655,0.9677,0.2424
656,0.9680,0.4818
657,0.9683,0.2261
658,0.9682,0.2587
659,0.9685,0.3398
660,0.9685,0.3662
661,0.9683,0.3114
662,0.9685,0.4042
663,0.9689,0.2272
664,0.9691,0.2123
665,0.9691,0.2872
666,0.9687,0.3608
667,0.9690,0.3295
668,0.9689,0.3684
669,0.9692,0.3959
670,0.9692,0.4335
671,0.9693,0.3441
672,0.9695,0.3923
673,0.9700,0.2260
674,0.9694,0.3320
675,0.9694,0.3413
676,0.9700,0.3139
677,0.9696,0.2471
678,0.9694,0.2903
679,0.9698,0.3779
680,0.9701,0.3977
681,0.9705,0.3263
682,0.9704,0.3828
683,0.9707,0.4180
684,0.9702,0.2470
685,0.9704,0.2564
686,0.9704,0.2980
687,0.9704,0.3099
688,0.9709,0.4352
689,0.9705,0.3340
690,0.9703,0.2989
691,0.9708,0.3830
692,0.9712,0.4389
693,0.9712,0.3776
694,0.9712,0.2546
695,0.9712,0.4259
696,0.9715,0.4112
697,0.9714,0.3569
698,0.9711,0.3688
699,0.9717,0.4341
700,0.9719,0.3251
701,0.9714,0.3169
702,0.9719,0.1664
703,0.9721,0.2235
704,0.9719,0.4185
705,0.9722,0.3304
706,0.9719,0.3217
707,0.9718,0.2784
708,0.9719,0.2762
709,0.9720,0.3374
710,0.9725,0.4756
711,0.9725,0.4496
712,0.9726,0.3994
713,0.9727,0.2740
714,0.9725,0.2732
715,0.9726,0.3199
716,0.9725,0.3066
717,0.9725,0.2956
718,0.9731,0.3197
719,0.9730,0.4082
720,0.9729,0.2709
721,0.9728,0.3882
722,0.9731,0.4313
723,0.9733,0.3543
724,0.9729,0.3366
725,0.9733,0.4447
726,0.9739,0.4627
727,0.9734,0.3448
728,0.9731,0.3276
729,0.9734,0.3801
730,0.9737,0.3268
731,0.9739,0.3130
732,0.9737,0.4369
733,0.9739,0.3876
734,0.9738,0.1432
735,0.9740,0.4347
736,0.9744,0.3917
737,0.9741,0.3842
738,0.9741,0.4002
739,0.9744,0.3487
740,0.9743,0.3886
741,0.9742,0.3361
742,0.9741,0.3762
743,0.9744,0.4141
744,0.9743,0.2959
745,0.9748,0.3394
746,0.9743,0.3878
747,0.9744,0.2186
748,0.9750,0.2772
749,0.9748,0.3916
750,0.9745,0.3891
751,0.9749,0.3327
752,0.9753,0.2331
753,0.9751,0.2723
754,0.9752,0.2606
755,0.9749,0.4347
756,0.9751,0.2981
757,0.9753,0.2897
758,0.9754,0.4777
759,0.9750,0.3617
760,0.9749,0.2143
761,0.9758,0.3504
762,0.9756,0.4631
763,0.9759,0.2803
764,0.9759,0.2778
765,0.9757,0.2258
766,0.9754,0.3938
767,0.9759,0.2851
768,0.9756,0.2779
769,0.9756,0.2337
770,0.9759,0.4242
771,0.9766,0.3767
772,0.9764,0.4342
773,0.9764,0.3594
774,0.9762,0.3336
775,0.9763,0.4085
776,0.9767,0.3097
777,0.9769,0.2588
778,0.9764,0.3384
779,0.9764,0.3085
780,0.9762,0.2351
781,0.9768,0.3505
782,0.9766,0.4382
783,0.9767,0.3977
784,0.9770,0.3873
785,0.9770,0.4353
786,0.9769,0.3248
787,0.9772,0.3298
788,0.9773,0.3564
789,0.9774,0.2439
790,0.9768,0.3436
791,0.9767,0.2781
792,0.9769,0.3183
793,0.9770,0.2961
794,0.9774,0.3943
795,0.9774,0.3584
796,0.9769,0.4393
797,0.9776,0.4420
798,0.9775,0.4199
799,0.9778,0.3591
800,0.9775,0.1912
801,0.9776,0.4344
802,0.9779,0.3169
803,0.9777,0.3548
804,0.9777,0.3273
805,0.9779,0.4940
806,0.9781,0.2392
807,0.9780,0.4295
808,0.9781,0.4109
809,0.9783,0.4277
810,0.9780,0.3933
811,0.9786,0.3200
812,0.9781,0.4198
813,0.9785,0.3201
814,0.9785,0.3024
815,0.9785,0.2680
816,0.9782,0.4493
817,0.9780,0.3021
818,0.9781,0.4090
819,0.9788,0.4278
820,0.9789,0.3764
821,0.9789,0.3520
822,0.9788,0.3307
823,0.9788,0.2568
824,0.9788,0.2494
825,0.9787,0.3269
826,0.9791,0.3497
827,0.9788,0.2815
828,0.9789,0.3426
829,0.9792,0.4190
830,0.9787,0.3697
831,0.9793,0.4461
832,0.9795,0.3996
833,0.9793,0.4299
834,0.9791,0.3618
835,0.9790,0.3721
836,0.9794,0.3259
837,0.9794,0.4521
838,0.9792,0.4372
839,0.9788,0.2917
840,0.9793,0.3044
841,0.9795,0.2988
842,0.9798,0.3166
843,0.9799,0.4134
844,0.9799,0.3539
845,0.9799,0.4120
846,0.9796,0.2781
847,0.9801,0.3140
848,0.9804,0.2342
849,0.9804,0.3067
850,0.9800,0.2621
851,0.9798,0.4538
852,0.9802,0.3169
853,0.9802,0.4469
854,0.9800,0.2776
855,0.9806,0.2971
856,0.9804,0.2941
857,0.9797,0.2654
858,0.9802,0.2147
859,0.9801,0.4463
860,0.9801,0.3704
861,0.9804,0.3435
862,0.9809,0.3092
863,0.9805,0.3464
864,0.9809,0.3616
865,0.9807,0.3965
866,0.9809,0.2775
867,0.9809,0.3709
868,0.9808,0.3420
869,0.9805,0.3835
870,0.9806,0.3372
871,0.9809,0.4083
872,0.9811,0.2947
873,0.9809,0.3967
874,0.9810,0.3268
875,0.9813,0.3026
876,0.9807,0.3177
877,0.9809,0.3945
878,0.9814,0.3944
879,0.9810,0.2837
880,0.9810,0.3387
881,0.9808,0.3164
882,0.9809,0.4260
883,0.9811,0.2661
884,0.9808,0.2764
885,0.9811,0.3759
886,0.9816,0.3274
887,0.9816,0.1386
888,0.9812,0.3241
889,0.9815,0.4046
890,0.9813,0.2900
891,0.9820,0.3406
892,0.9817,0.3493
893,0.9817,0.3035
894,0.9819,0.3964
895,0.9816,0.2518
896,0.9818,0.3545
897,0.9817,0.4170
898,0.9814,0.2563
899,0.9820,0.2397
900,0.9822,0.3184
901,0.9821,0.3815
902,0.9816,0.2330
903,0.9823,0.4434
904,0.9822,0.3007
905,0.9818,0.2712
906,0.9821,0.3824
907,0.9822,0.3367
908,0.9820,0.3675
909,0.9822,0.3540
910,0.9823,0.4108
911,0.9821,0.3028
912,0.9822,0.3410
913,0.9823,0.1632
914,0.9825,0.4163
915,0.9825,0.2938
916,0.9827,0.2866
917,0.9830,0.3882
918,0.9823,0.4397
919,0.9824,0.2565
920,0.9827,0.3189
921,0.9830,0.3331
922,0.9828,0.3743
923,0.9828,0.3258
924,0.9827,0.2737
925,0.9827,0.3413
926,0.9832,0.3612
927,0.9830,0.4631
928,0.9831,0.2757
929,0.9831,0.3456
930,0.9827,0.3064
931,0.9831,0.3365
932,0.9833,0.3599
933,0.9831,0.3603
934,0.9831,0.3520
935,0.9833,0.4180
936,0.9833,0.2861
937,0.9834,0.3053
938,0.9833,0.2834
939,0.9831,0.4192
940,0.9833,0.2453
941,0.9830,0.3653
942,0.9831,0.1843
943,0.9832,0.4475
944,0.9833,0.3522
945,0.9835,0.2136
946,0.9832,0.2535
947,0.9836,0.4115
948,0.9838,0.4245
949,0.9834,0.3670
950,0.9835,0.3369
951,0.9834,0.4430
952,0.9836,0.3547
953,0.9835,0.3042
954,0.9836,0.3778
955,0.9837,0.3015
956,0.9841,0.2566
957,0.9840,0.2890
958,0.9840,0.3938
959,0.9842,0.3034
960,0.9843,0.3439
961,0.9843,0.2779
962,0.9840,0.2444
963,0.9841,0.3044
964,0.9840,0.3756
965,0.9840,0.3927
966,0.9840,0.3827
967,0.9841,0.4695
968,0.9840,0.2326
969,0.9841,0.3603
970,0.9839,0.3207
971,0.9842,0.3179
972,0.9842,0.3927
973,0.9848,0.1454
974,0.9845,0.3262
975,0.9848,0.3007
976,0.9842,0.3168
977,0.9844,0.4342
978,0.9848,0.4050
979,0.9846,0.3014
980,0.9844,0.3779
981,0.9844,0.2707
982,0.9847,0.3285
983,0.9847,0.4375
984,0.9846,0.3666
985,0.9846,0.3742
986,0.9849,0.2040
987,0.9849,0.3981
988,0.9846,0.2608
989,0.9846,0.3808
990,0.9850,0.3888
991,0.9849,0.3327
992,0.9847,0.4104
993,0.9847,0.2822
994,0.9847,0.2559
995,0.9851,0.2714
996,0.9849,0.4366
997,0.9851,0.3987
998,0.9851,0.3640
999,0.9851,0.3914
1000,0.9853,0.4230
1001,0.9850,0.3755
1002,0.9852,0.3710
1003,0.9855,0.2079
1004,0.9852,0.4265
1005,0.9854,0.3264
1006,0.9852,0.4296
1007,0.9854,0.1868
1008,0.9854,0.4073
1009,0.9854,0.2877
1010,0.9856,0.3795
1011,0.9854,0.4218
1012,0.9853,0.1904
1013,0.9856,0.4390
1014,0.9856,0.3042
1015,0.9853,0.3540
1016,0.9853,0.3835
1017,0.9857,0.3247
1018,0.9854,0.3341
1019,0.9854,0.2506
1020,0.9856,0.2712
1021,0.9857,0.4751
1022,0.9857,0.3388
1023,0.9857,0.4129
1024,0.9859,0.4472
1025,0.9857,0.2100
1026,0.9857,0.3014
1027,0.9861,0.3241
1028,0.9860,0.3803
1029,0.9857,0.2225
1030,0.9861,0.3577
1031,0.9862,0.3298
1032,0.9859,0.3980
1033,0.9862,0.3359
1034,0.9860,0.4550
1035,0.9858,0.3595
1036,0.9861,0.4236
1037,0.9863,0.2384
1038,0.9862,0.3306
1039,0.9860,0.4272
1040,0.9859,0.2689
1041,0.9860,0.4251
1042,0.9859,0.3505
1043,0.9858,0.3723
1044,0.9860,0.2684
1045,0.9862,0.4107
1046,0.9861,0.2784
1047,0.9855,0.3109
1048,0.9862,0.3059
1049,0.9865,0.1314
1050,0.9863,0.2886
1051,0.9859,0.4067
1052,0.9860,0.2831
1053,0.9864,0.3772
1054,0.9862,0.4033
1055,0.9860,0.2497
1056,0.9857,0.2978
1057,0.9855,0.4195
1058,0.9866,0.2177
1059,0.9870,0.3963
1060,0.9866,0.2480
1061,0.9866,0.3271
1062,0.9867,0.3135
1063,0.9867,0.4636
1064,0.9864,0.2358
1065,0.9864,0.2774
1066,0.9868,0.3276
1067,0.9866,0.3622
1068,0.9866,0.2463
1069,0.9868,0.4145
1070,0.9867,0.3132
1071,0.9863,0.2943
1072,0.9865,0.3164
1073,0.9869,0.2993
1074,0.9871,0.3648
1075,0.9867,0.3161
1076,0.9867,0.2379
1077,0.9870,0.3179
1078,0.9869,0.3355
1079,0.9867,0.2830
1080,0.9870,0.2763
1081,0.9872,0.3777
1082,0.9871,0.2315
1083,0.9870,0.3496
1084,0.9870,0.3503
1085,0.9872,0.3542
1086,0.9872,0.2901
1087,0.9872,0.1615
1088,0.9870,0.4234
1089,0.9873,0.3335
1090,0.9872,0.4363
1091,0.9871,0.4306
1092,0.9871,0.3072
1093,0.9873,0.3483
1094,0.9874,0.3083
1095,0.9876,0.4153
1096,0.9871,0.4241
1097,0.9872,0.2631
1098,0.9873,0.3816
1099,0.9872,0.4162
1100,0.9872,0.3588
1101,0.9874,0.2843
1102,0.9876,0.3716
1103,0.9876,0.2323
1104,0.9873,0.2413
1105,0.9875,0.4130
1106,0.9877,0.3948
1107,0.9875,0.3055
1108,0.9877,0.2944
1109,0.9877,0.1816
1110,0.9878,0.3576
1111,0.9875,0.2675
1112,0.9877,0.2308
1113,0.9877,0.3051
1114,0.9875,0.2942
1115,0.9881,0.3005
1116,0.9876,0.4907
1117,0.9877,0.2292
1118,0.9877,0.3454
1119,0.9881,0.2181
1120,0.9881,0.2844
1121,0.9878,0.3259
1122,0.9877,0.2500
1123,0.9876,0.4711
1124,0.9877,0.2365
1125,0.9878,0.3222
1126,0.9880,0.3250
