epoch 97 loss: 0.22654454234768362, elapse time: 4.4519853591918945
epoch 98 loss: 0.2215714288108489, elapse time: 4.466695308685303
epoch 99 loss: 0.2224296673255808, elapse time: 4.461016654968262
epoch 100 loss: 0.2223758364424986, elapse time: 4.444859266281128
epoch 101 loss: 0.2236093142453362, elapse time: 4.45357608795166
epoch 102 loss: 0.22521479515468373, elapse time: 4.451135873794556
epoch 103 loss: 0.2231542731032652, elapse time: 4.451402425765991
epoch 104 loss: 0.22031903529868407, elapse time: 4.447087049484253
epoch 105 loss: 0.22537000652621775, elapse time: 4.4555652141571045
epoch 106 loss: 0.22186942223240347, elapse time: 4.45578408241272
epoch 107 loss: 0.22103216981186585, elapse time: 4.468437910079956
epoch 108 loss: 0.22250286533552058, elapse time: 4.456645727157593
epoch 109 loss: 0.21916758137590744, elapse time: 4.4456870555877686
epoch 110 loss: 0.22176861938308268, elapse time: 4.468010902404785
epoch 111 loss: 0.21694728118531845, elapse time: 4.456333875656128
epoch 112 loss: 0.21810369193553925, elapse time: 4.459096431732178
epoch 113 loss: 0.22032761223175945, elapse time: 4.463360548019409
epoch 114 loss: 0.2176690697669983, elapse time: 4.474109649658203
epoch 115 loss: 0.21888316641835606, elapse time: 4.449591875076294
epoch 116 loss: 0.2180805495556663, elapse time: 4.461592197418213
epoch 117 loss: 0.21545790661783779, elapse time: 4.451478958129883
epoch 118 loss: 0.21792943074422724, elapse time: 4.457453966140747
epoch 119 loss: 0.21491425615899704, elapse time: 4.461368083953857
epoch 120 loss: 0.21643363552934983, elapse time: 4.455176591873169
epoch 121 loss: 0.2186389214852277, elapse time: 4.448400497436523
epoch 122 loss: 0.21701091440284953, elapse time: 4.4706926345825195
epoch 123 loss: 0.21380761616370259, elapse time: 4.468017101287842
epoch 124 loss: 0.2144260914886699, elapse time: 4.45554256439209
epoch 125 loss: 0.216101834879202, elapse time: 4.489909410476685
epoch 126 loss: 0.21528884417870464, elapse time: 4.449018716812134
epoch 127 loss: 0.21522650210296407, elapse time: 4.466060400009155
epoch 128 loss: 0.21423031565021067, elapse time: 4.454685211181641
epoch 129 loss: 0.2120588597129373, elapse time: 4.467151880264282
epoch 130 loss: 0.2106417680487913, elapse time: 4.485739707946777
epoch 131 loss: 0.210854568902184, elapse time: 4.458044767379761
epoch 132 loss: 0.21065904813654282, elapse time: 4.4647533893585205
epoch 133 loss: 0.20910293126807494, elapse time: 4.450090169906616
epoch 134 loss: 0.21168844577144175, elapse time: 4.4663920402526855
epoch 135 loss: 0.20979060407947092, elapse time: 4.444130182266235
epoch 136 loss: 0.20968217621831334, elapse time: 4.4469873905181885
epoch 137 loss: 0.20695305396528804, elapse time: 4.449193716049194
epoch 138 loss: 0.20836841446511886, elapse time: 4.452698230743408
epoch 139 loss: 0.20855117983677807, elapse time: 4.464175224304199
epoch 140 loss: 0.20899083421510808, elapse time: 4.457348346710205
epoch 141 loss: 0.20628944740575902, elapse time: 4.4644646644592285
epoch 142 loss: 0.21047084910028122, elapse time: 4.465299129486084
epoch 143 loss: 0.20996330327847423, elapse time: 4.455552577972412
epoch 144 loss: 0.2111211243797751, elapse time: 4.4577248096466064
epoch 145 loss: 0.21167276887332692, elapse time: 4.470174074172974
epoch 146 loss: 0.20722386416266947, elapse time: 4.466656684875488
epoch 147 loss: 0.21059852838516235, elapse time: 4.451892614364624
epoch 148 loss: 0.20760619465042562, elapse time: 4.478330135345459
epoch 149 loss: 0.2087494844899458, elapse time: 4.465379953384399
epoch 150 loss: 0.21151265677283793, elapse time: 4.4580419063568115
epoch 151 loss: 0.20885941736838398, elapse time: 4.456515550613403
epoch 152 loss: 0.2069273021291284, elapse time: 4.459717750549316
epoch 153 loss: 0.20648941222359152, elapse time: 4.448711395263672
epoch 154 loss: 0.2086966221823412, elapse time: 4.447065591812134
epoch 155 loss: 0.2078217977986616, elapse time: 4.494046449661255
epoch 156 loss: 0.20790959982311025, elapse time: 4.454331398010254
epoch 157 loss: 0.20621072281809413, elapse time: 4.461530685424805
epoch 158 loss: 0.2083517041276483, elapse time: 4.451101064682007
epoch 159 loss: 0.20610333365552566, elapse time: 4.482046842575073
epoch 160 loss: 0.20884647614815655, elapse time: 4.472189903259277
epoch 161 loss: 0.2112259733326295, elapse time: 4.48274564743042
epoch 162 loss: 0.20756126764942617, elapse time: 4.45910906791687
epoch 163 loss: 0.20707571155884685, elapse time: 4.454452276229858
epoch 164 loss: 0.20433652926893794, elapse time: 4.448997735977173
epoch 165 loss: 0.2038534511538113, elapse time: 4.457234621047974
epoch 166 loss: 0.20238680261022904, elapse time: 4.487450361251831
epoch 167 loss: 0.20409801865325256, elapse time: 4.450960636138916
epoch 168 loss: 0.2038131882162655, elapse time: 4.458433389663696
epoch 169 loss: 0.20258543508894303, elapse time: 4.4872987270355225
epoch 170 loss: 0.2027941486414741, elapse time: 4.4632673263549805
epoch 171 loss: 0.20286406050710118, elapse time: 4.474646091461182
epoch 172 loss: 0.2065016557188595, elapse time: 4.4594011306762695
epoch 173 loss: 0.20397671794190125, elapse time: 4.463963508605957
epoch 174 loss: 0.20464077328934388, elapse time: 4.470268249511719
epoch 175 loss: 0.20229963519993951, elapse time: 4.461248397827148
epoch 176 loss: 0.19976385113070994, elapse time: 4.474101543426514
epoch 177 loss: 0.2009670655517017, elapse time: 4.467578411102295
epoch 178 loss: 0.20029522127964916, elapse time: 4.48056960105896
epoch 179 loss: 0.20235291824621313, elapse time: 4.452829360961914
epoch 180 loss: 0.20629979056470535, elapse time: 4.468897581100464
epoch 181 loss: 0.204076630227706, elapse time: 4.449518918991089
epoch 182 loss: 0.20192153225926793, elapse time: 4.500796794891357
epoch 183 loss: 0.2009286030250437, elapse time: 4.459172487258911
epoch 184 loss: 0.2018735242240569, elapse time: 4.453512907028198
epoch 185 loss: 0.20105524273479686, elapse time: 4.449416160583496
epoch 186 loss: 0.19941113100332372, elapse time: 4.452164173126221
epoch 187 loss: 0.2004990849424811, elapse time: 4.457982063293457
epoch 188 loss: 0.20388498814666972, elapse time: 4.449487209320068
epoch 189 loss: 0.20439916323213017, elapse time: 4.4584057331085205
epoch 190 loss: 0.20348216417957754, elapse time: 4.467854022979736
epoch 191 loss: 0.2007888353922788, elapse time: 4.467768430709839
epoch 192 loss: 0.20111315040027394, elapse time: 4.456539630889893
epoch 193 loss: 0.1983799110440647, elapse time: 4.473940372467041
epoch 194 loss: 0.1978312967454686, elapse time: 4.460690498352051
epoch 195 loss: 0.19677607276860407, elapse time: 4.475094556808472
epoch 196 loss: 0.19763968797291026, elapse time: 4.457112550735474
epoch 197 loss: 0.20006885861649232, elapse time: 4.456335783004761
epoch 198 loss: 0.19672511868617115, elapse time: 4.45673131942749
epoch 199 loss: 0.19917122756733613, elapse time: 4.461626768112183
epoch 200 loss: 0.19956370837548199, elapse time: 4.470500946044922
epoch 201 loss: 0.19939698892481186, elapse time: 4.446960210800171
epoch 202 loss: 0.1968081155244042, elapse time: 4.455859899520874
epoch 203 loss: 0.20127806505736182, elapse time: 4.453299283981323
epoch 204 loss: 0.20392132857266596, elapse time: 4.449856281280518
epoch 205 loss: 0.1986365178052117, elapse time: 4.465709686279297
epoch 206 loss: 0.19677176633301904, elapse time: 4.463068246841431
epoch 207 loss: 0.19546357849064996, elapse time: 4.4628143310546875
epoch 208 loss: 0.19660434214507833, elapse time: 4.454018592834473
epoch 209 loss: 0.19570179984850042, elapse time: 4.456609010696411
epoch 210 loss: 0.19622585703344905, elapse time: 4.44999098777771
epoch 211 loss: 0.19727341918384328, elapse time: 4.45514440536499
epoch 212 loss: 0.19815626565147848, elapse time: 4.4567272663116455
epoch 213 loss: 0.19583547027672038, elapse time: 4.4551920890808105
epoch 214 loss: 0.20018874985330246, elapse time: 4.450183391571045
epoch 215 loss: 0.19706088129211874, elapse time: 4.459700584411621
epoch 216 loss: 0.1972437115276561, elapse time: 4.4584126472473145
epoch 217 loss: 0.19671420402386608, elapse time: 4.451263666152954
epoch 218 loss: 0.1953994053251603, elapse time: 4.458935976028442
epoch 219 loss: 0.19302303212530472, elapse time: 4.497962236404419
epoch 220 loss: 0.19845756362466252, elapse time: 4.473772048950195
epoch 221 loss: 0.19659888043123133, elapse time: 4.490931034088135
epoch 222 loss: 0.19449577173765967, elapse time: 4.459350347518921
epoch 223 loss: 0.198027706321548, elapse time: 4.464000463485718
epoch 224 loss: 0.19811350370154662, elapse time: 4.461103916168213
epoch 225 loss: 0.19376444465973797, elapse time: 4.453322887420654
epoch 226 loss: 0.19216841897543738, elapse time: 4.465477705001831
epoch 227 loss: 0.1942103145753636, elapse time: 4.458269357681274
epoch 228 loss: 0.1945447308175704, elapse time: 4.467236280441284
epoch 229 loss: 0.19437921923749588, elapse time: 4.471959352493286
epoch 230 loss: 0.19237426624578588, elapse time: 4.471972465515137
epoch 231 loss: 0.192708440563258, elapse time: 4.451010465621948
epoch 232 loss: 0.1959942027049906, elapse time: 4.475419759750366
epoch 233 loss: 0.19462356146644144, elapse time: 4.4560792446136475
epoch 234 loss: 0.19214454030289368, elapse time: 4.451104640960693
epoch 235 loss: 0.1923992370857912, elapse time: 4.461076974868774
epoch 236 loss: 0.19272083920591018, elapse time: 4.4603095054626465
epoch 237 loss: 0.19714593712021322, elapse time: 4.490190744400024
epoch 238 loss: 0.19573194577413447, elapse time: 4.454538106918335
epoch 239 loss: 0.19522814277340383, elapse time: 4.462102890014648
epoch 240 loss: 0.1916916046072455, elapse time: 4.621532440185547
epoch 241 loss: 0.19399006314137401, elapse time: 4.482653379440308
epoch 242 loss: 0.1940062247654971, elapse time: 4.475976228713989
epoch 243 loss: 0.1926665235968197, elapse time: 4.484720468521118
epoch 244 loss: 0.19350075108163498, elapse time: 4.485033273696899
