Epoch,IOU_Train,IOU_Val
265,0.7988,0.2183
266,0.7998,0.4072
267,0.7999,0.2135
268,0.8004,0.3202
269,0.8007,0.2802
270,0.8013,0.2784
271,0.8015,0.2523
272,0.8020,0.3623
273,0.8024,0.3019
274,0.8027,0.2732
275,0.8009,0.3009
276,0.8035,0.2465
277,0.8030,0.2317
278,0.8036,0.3698
279,0.8042,0.2593
280,0.8042,0.2289
281,0.8047,0.2425
282,0.8048,0.4181
283,0.8059,0.2573
284,0.8054,0.2653
285,0.8059,0.3113
286,0.8060,0.3213
287,0.8064,0.3337
288,0.8072,0.2352
289,0.8072,0.3019
290,0.8080,0.3143
291,0.8082,0.2323
292,0.8082,0.3378
293,0.8086,0.2945
294,0.8085,0.3896
295,0.8095,0.2130
296,0.8096,0.2845
297,0.8105,0.3187
298,0.8103,0.2553
299,0.8099,0.2568
300,0.8107,0.3193
301,0.8117,0.2747
302,0.8112,0.2479
303,0.8116,0.2849
304,0.8122,0.2999
305,0.8119,0.4362
306,0.8126,0.3320
307,0.8127,0.3615
308,0.8136,0.2906
309,0.8140,0.3395
310,0.8140,0.1794
311,0.8141,0.2682
312,0.8147,0.1801
313,0.8146,0.4047
314,0.8157,0.3277
315,0.8157,0.2936
316,0.8158,0.2663
317,0.8156,0.3193
318,0.8163,0.3086
319,0.8169,0.2960
320,0.8168,0.2537
321,0.8160,0.3027
322,0.8180,0.2573
323,0.8182,0.3804
324,0.8182,0.3167
325,0.8177,0.2908
326,0.8189,0.2862
327,0.8186,0.3306
328,0.8190,0.3245
329,0.8196,0.2171
330,0.8197,0.3746
331,0.8201,0.2461
332,0.8202,0.2128
333,0.8201,0.3950
334,0.8206,0.3425
335,0.8209,0.2681
336,0.8210,0.3230
337,0.8218,0.4058
338,0.8220,0.3192
339,0.8224,0.3009
340,0.8221,0.2222
341,0.8222,0.1909
342,0.8228,0.3170
343,0.8227,0.3023
344,0.8234,0.3423
345,0.8236,0.2862
346,0.8241,0.3559
347,0.8242,0.1967
348,0.8239,0.3573
349,0.8244,0.2697
350,0.8251,0.2744
351,0.8252,0.3598
352,0.8251,0.2663
353,0.8257,0.2570
354,0.8260,0.2313
355,0.8262,0.2488
356,0.8262,0.2844
357,0.8269,0.3280
358,0.8274,0.2846
359,0.8268,0.3244
360,0.8271,0.3104
361,0.8277,0.2697
362,0.8281,0.3715
363,0.8279,0.2019
364,0.8290,0.2013
365,0.8288,0.2190
366,0.8297,0.3536
367,0.8296,0.3020
368,0.8291,0.2245
369,0.8297,0.3112
370,0.8296,0.3400
371,0.8304,0.3153
372,0.8306,0.2862
373,0.8312,0.2663
374,0.8306,0.1631
375,0.8305,0.3241
376,0.8306,0.3409
377,0.8318,0.2642
378,0.8314,0.1515
379,0.8319,0.1812
380,0.8316,0.2263
381,0.8327,0.2523
382,0.8321,0.3521
383,0.8332,0.3417
384,0.8335,0.2036
385,0.8337,0.2271
386,0.8332,0.2277
387,0.8336,0.3160
388,0.8334,0.3361
389,0.8345,0.1967
390,0.8341,0.3996
391,0.8352,0.3133
392,0.8349,0.2681
393,0.8351,0.3797
394,0.8349,0.3154
395,0.8359,0.2404
396,0.8355,0.2379
397,0.8357,0.2726
398,0.8362,0.3209
399,0.8367,0.3350
400,0.8366,0.2840
401,0.8366,0.3254
402,0.8372,0.1978
403,0.8375,0.2253
404,0.8381,0.3556
405,0.8379,0.2213
406,0.8379,0.2131
407,0.8378,0.3661
408,0.8385,0.2342
409,0.8388,0.2369
410,0.8395,0.1904
411,0.8391,0.2104
412,0.8393,0.2078
413,0.8396,0.2370
414,0.8391,0.3438
415,0.8395,0.2711
416,0.8405,0.3596
417,0.8403,0.2403
418,0.8403,0.2908
419,0.8410,0.2966
420,0.8401,0.3570
421,0.8411,0.1767
422,0.8411,0.2892
423,0.8418,0.2993
424,0.8423,0.3575
425,0.8418,0.3380
426,0.8419,0.4049
427,0.8418,0.3058
428,0.8432,0.2746
429,0.8430,0.2527
430,0.8432,0.3703
431,0.8426,0.2761
432,0.8436,0.2944
433,0.8437,0.2502
434,0.8443,0.3157
435,0.8442,0.2098
436,0.8446,0.2452
437,0.8445,0.2941
438,0.8449,0.3733
439,0.8451,0.2858
440,0.8448,0.2952
441,0.8453,0.2025
442,0.8452,0.3594
443,0.8457,0.1877
444,0.8449,0.1897
445,0.8462,0.3158
446,0.8465,0.2665
447,0.8460,0.2805
448,0.8467,0.2628
449,0.8467,0.1882
450,0.8471,0.1705
451,0.8478,0.2837
452,0.8472,0.2748
453,0.8472,0.2237
454,0.8475,0.2488
455,0.8476,0.2191
456,0.8478,0.2965
457,0.8480,0.2163
458,0.8486,0.3589
459,0.8490,0.3651
460,0.8489,0.2123
461,0.8492,0.2675
462,0.8489,0.3122
463,0.8490,0.2801
464,0.8497,0.3407
465,0.8497,0.2781
466,0.8492,0.3381
467,0.8501,0.3038
468,0.8504,0.2787
469,0.8502,0.2925
470,0.8505,0.3107
471,0.8507,0.2848
472,0.8509,0.3356
473,0.8511,0.2016
474,0.8511,0.2372
475,0.8515,0.2503
476,0.8511,0.2249
477,0.8519,0.3405
478,0.8520,0.3193
479,0.8519,0.2506
480,0.8515,0.2050
481,0.8524,0.1859
482,0.8530,0.2460
483,0.8526,0.3166
484,0.8529,0.2499
485,0.8530,0.3297
486,0.8522,0.2960
487,0.8538,0.2565
488,0.8538,0.2531
489,0.8538,0.2063
490,0.8537,0.3911
491,0.8536,0.2859
492,0.8545,0.3875
493,0.8544,0.3145
494,0.8550,0.2912
495,0.8547,0.2388
496,0.8547,0.2256
497,0.8552,0.2405
498,0.8553,0.2722
499,0.8557,0.3734
