Epoch,IOU_Train,IOU_Val
0,0.5338,0.4864
1,0.5669,0.4518
2,0.5754,0.5332
3,0.5849,0.5458
4,0.5912,0.4844
5,0.5963,0.4647
6,0.6014,0.5015
7,0.6045,0.4805
8,0.6082,0.5330
9,0.6113,0.4959
10,0.6142,0.5471
11,0.6176,0.5291
12,0.6196,0.5455
13,0.6219,0.5221
14,0.6246,0.5402
15,0.6254,0.5286
16,0.6277,0.5254
17,0.6306,0.4694
18,0.6318,0.5523
19,0.6339,0.5402
20,0.6348,0.5026
21,0.6365,0.5358
22,0.6365,0.4689
23,0.6383,0.5481
24,0.6399,0.5212
25,0.6408,0.5617
26,0.6432,0.5413
27,0.6443,0.2823
28,0.6470,0.4048
29,0.6468,0.5343
30,0.6479,0.5334
31,0.6497,0.5365
32,0.6504,0.5073
33,0.6515,0.5331
34,0.6536,0.5495
35,0.6531,0.5040
36,0.6536,0.5406
37,0.6565,0.5018
38,0.6564,0.5038
39,0.6567,0.5279
40,0.6574,0.5529
41,0.6594,0.4310
42,0.6602,0.5446
43,0.6595,0.4483
44,0.6611,0.5513
45,0.6625,0.5237
46,0.6619,0.5151
47,0.6637,0.4995
48,0.6651,0.4922
49,0.6650,0.4873
50,0.6649,0.5261
51,0.6668,0.5396
52,0.6670,0.4449
53,0.6676,0.4192
54,0.6688,0.3841
55,0.6684,0.3913
56,0.6693,0.5522
57,0.6710,0.5548
58,0.6710,0.4581
59,0.6717,0.5368
60,0.6717,0.5529
61,0.6725,0.5283
62,0.6736,0.4886
63,0.6744,0.4860
64,0.6743,0.4872
65,0.6746,0.5473
66,0.6751,0.5299
67,0.6761,0.4395
68,0.6763,0.5513
69,0.6767,0.4910
70,0.6771,0.5383
71,0.6775,0.4872
72,0.6779,0.4919
73,0.6787,0.5077
74,0.6782,0.4096
75,0.6798,0.5361
76,0.6805,0.4728
77,0.6809,0.5517
78,0.6809,0.5391
79,0.6810,0.5483
80,0.6821,0.4189
81,0.6825,0.4399
82,0.6825,0.5341
83,0.6834,0.5471
84,0.6833,0.5014
85,0.6835,0.5216
86,0.6844,0.5258
87,0.6847,0.5189
88,0.6845,0.4773
89,0.6856,0.4596
90,0.6852,0.4595
91,0.6858,0.4618
92,0.6859,0.4739
93,0.6877,0.5027
94,0.6867,0.5363
95,0.6876,0.4705
96,0.6883,0.5322
97,0.6874,0.4479
98,0.6882,0.5177
99,0.6894,0.5443
100,0.6892,0.4352
101,0.6896,0.5129
102,0.6907,0.5045
103,0.6888,0.4126
104,0.6907,0.4707
105,0.6908,0.5298
106,0.6913,0.5051
107,0.6918,0.4796
108,0.6917,0.5306
109,0.6928,0.5107
110,0.6918,0.5199
111,0.6929,0.5167
112,0.6926,0.4898
113,0.6931,0.5251
114,0.6932,0.5394
115,0.6940,0.5102
116,0.6937,0.5603
117,0.6943,0.4436
118,0.6954,0.5125
119,0.6946,0.5292
120,0.6955,0.5212
121,0.6947,0.5542
122,0.6962,0.3295
123,0.6956,0.5517
124,0.6963,0.4933
125,0.6963,0.5009
126,0.6961,0.5458
127,0.6967,0.4603
128,0.6973,0.5251
129,0.6974,0.5452
130,0.6986,0.5497
131,0.6980,0.3687
132,0.6984,0.5551
133,0.6988,0.5205
134,0.6980,0.4676
135,0.6990,0.4712
136,0.6992,0.4822
137,0.6986,0.5137
138,0.7001,0.4977
139,0.6992,0.3604
140,0.6994,0.5220
141,0.7002,0.5456
142,0.6999,0.4677
143,0.7005,0.4536
144,0.7009,0.5414
145,0.7011,0.5175
146,0.7012,0.4691
147,0.7016,0.5565
148,0.7012,0.5433
149,0.7014,0.3856
150,0.7020,0.5440
151,0.7029,0.5524
152,0.7017,0.4943
153,0.7026,0.5510
154,0.7024,0.5399
155,0.7028,0.5269
156,0.7027,0.5021
157,0.7025,0.5211
158,0.7034,0.4937
159,0.7033,0.5480
160,0.7038,0.5386
161,0.7039,0.5421
162,0.7039,0.5276
163,0.7045,0.5105
164,0.7045,0.4694
165,0.7050,0.5004
166,0.7046,0.5341
167,0.7046,0.5483
168,0.7055,0.4817
169,0.7042,0.5163
170,0.7057,0.5113
171,0.7061,0.4906
172,0.7059,0.5156
173,0.7061,0.5090
174,0.7056,0.5146
175,0.7054,0.5242
176,0.7074,0.4358
177,0.7064,0.4968
178,0.7064,0.4965
179,0.7063,0.4786
180,0.7065,0.5439
181,0.7072,0.4505
182,0.7068,0.5247
183,0.7079,0.5313
184,0.7079,0.5347
185,0.7072,0.4968
186,0.7081,0.4327
187,0.7080,0.5410
188,0.7082,0.5515
189,0.7083,0.5017
190,0.7081,0.5576
191,0.7086,0.3871
192,0.7085,0.5589
193,0.7095,0.5414
194,0.7087,0.4906
195,0.7098,0.5010
196,0.7091,0.5542
197,0.7091,0.5430
198,0.7093,0.5330
199,0.7102,0.5174
200,0.7095,0.5149
201,0.7097,0.5302
202,0.7101,0.5001
203,0.7099,0.5605
204,0.7103,0.5452
205,0.7110,0.4945
206,0.7105,0.4818
207,0.7110,0.5108
208,0.7100,0.5619
209,0.7113,0.4957
210,0.7106,0.5187
211,0.7110,0.5085
212,0.7115,0.5385
213,0.7117,0.5100
214,0.7121,0.4210
215,0.7115,0.5495
216,0.7120,0.4994
217,0.7113,0.5209
218,0.7119,0.5158
219,0.7119,0.5401
220,0.7121,0.5591
221,0.7124,0.5467
222,0.7131,0.4564
223,0.7124,0.5211
224,0.7124,0.4082
225,0.7127,0.5381
226,0.7135,0.4817
227,0.7129,0.4933
228,0.7130,0.4928
229,0.7132,0.5568
230,0.7127,0.4090
231,0.7134,0.5337
232,0.7136,0.5509
233,0.7142,0.5544
234,0.7130,0.5213
235,0.7141,0.4858
236,0.7135,0.4572
237,0.7141,0.3727
238,0.7142,0.4909
239,0.7144,0.5277
240,0.7149,0.4441
241,0.7147,0.4499
242,0.7146,0.5159
243,0.7144,0.5569
