Epoch,Loss,IOU_Train,IOU_Val,Time
151,0.139868,0.7029,0.5524,40.86
152,0.140733,0.7017,0.4943,40.83
153,0.140122,0.7026,0.5510,40.86
154,0.140331,0.7024,0.5399,40.92
155,0.139945,0.7028,0.5269,40.88
156,0.139914,0.7027,0.5021,40.99
157,0.139825,0.7025,0.5211,41.08
158,0.139180,0.7034,0.4937,40.87
159,0.139460,0.7033,0.5480,40.89
160,0.139225,0.7038,0.5386,40.89
161,0.138948,0.7039,0.5421,40.87
162,0.139054,0.7039,0.5276,40.81
163,0.138434,0.7045,0.5105,40.95
164,0.138694,0.7045,0.4694,40.93
165,0.137820,0.7050,0.5004,40.98
166,0.138496,0.7046,0.5341,41.10
167,0.138393,0.7046,0.5483,40.86
168,0.137838,0.7055,0.4817,40.98
169,0.138485,0.7042,0.5163,40.90
170,0.137924,0.7057,0.5113,40.89
171,0.137576,0.7061,0.4906,40.88
172,0.137573,0.7059,0.5156,40.93
173,0.137488,0.7061,0.5090,40.85
174,0.137329,0.7056,0.5146,40.90
175,0.138058,0.7054,0.5242,40.90
176,0.136376,0.7074,0.4358,40.92
177,0.137177,0.7064,0.4968,41.05
178,0.136869,0.7064,0.4965,41.03
179,0.136615,0.7063,0.4786,42.17
180,0.136926,0.7065,0.5439,40.99
181,0.136414,0.7072,0.4505,40.94
182,0.136954,0.7068,0.5247,40.95
183,0.136124,0.7079,0.5313,40.94
184,0.136083,0.7079,0.5347,40.95
185,0.136201,0.7072,0.4968,41.10
186,0.135928,0.7081,0.4327,40.92
187,0.136043,0.7080,0.5410,41.02
188,0.136027,0.7082,0.5515,41.06
189,0.135526,0.7083,0.5017,40.92
190,0.135614,0.7081,0.5576,40.93
191,0.135565,0.7086,0.3871,40.95
192,0.135167,0.7085,0.5589,40.95
193,0.134671,0.7095,0.5414,40.95
194,0.135220,0.7087,0.4906,41.17
195,0.134552,0.7098,0.5010,40.92
196,0.134688,0.7091,0.5542,40.91
197,0.134845,0.7091,0.5430,40.92
198,0.134280,0.7093,0.5330,40.92
199,0.134215,0.7102,0.5174,40.92
200,0.134349,0.7095,0.5149,41.07
201,0.134270,0.7097,0.5302,40.96
202,0.134011,0.7101,0.5001,41.01
203,0.134107,0.7099,0.5605,40.96
204,0.134050,0.7103,0.5452,40.95
205,0.133494,0.7110,0.4945,40.95
206,0.133854,0.7105,0.4818,40.95
207,0.133609,0.7110,0.5108,40.93
208,0.134131,0.7100,0.5619,41.01
209,0.133314,0.7113,0.4957,40.92
210,0.133558,0.7106,0.5187,40.95
211,0.133684,0.7110,0.5085,40.92
212,0.133093,0.7115,0.5385,40.93
213,0.133338,0.7117,0.5100,40.93
214,0.132539,0.7121,0.4210,40.97
215,0.132978,0.7115,0.5495,40.95
216,0.132745,0.7120,0.4994,40.95
217,0.132910,0.7113,0.5209,40.93
218,0.132718,0.7119,0.5158,40.95
219,0.132626,0.7119,0.5401,40.97
220,0.132713,0.7121,0.5591,40.94
221,0.132338,0.7124,0.5467,40.92
222,0.131859,0.7131,0.4564,40.93
