epoch 96 loss: 0.20695633366703986, elapse time: 5.760097503662109
epoch 97 loss: 0.2072904884815216, elapse time: 5.797397136688232
epoch 98 loss: 0.20798317715525627, elapse time: 5.781572580337524
epoch 99 loss: 0.2092485949397087, elapse time: 5.796403646469116
epoch 100 loss: 0.21164391562342644, elapse time: 5.784342288970947
epoch 101 loss: 0.20715007930994034, elapse time: 5.792447328567505
epoch 102 loss: 0.2038751110434532, elapse time: 5.777880907058716
epoch 103 loss: 0.20207983925938605, elapse time: 5.794976472854614
epoch 104 loss: 0.2062515415251255, elapse time: 5.804228067398071
epoch 105 loss: 0.20635530948638917, elapse time: 5.7954394817352295
epoch 106 loss: 0.2098321035504341, elapse time: 5.788965940475464
epoch 107 loss: 0.20495848804712297, elapse time: 5.784805536270142
epoch 108 loss: 0.2053128883242607, elapse time: 5.790219306945801
epoch 109 loss: 0.20605453252792358, elapse time: 5.790699243545532
epoch 110 loss: 0.20521577969193458, elapse time: 5.7975053787231445
epoch 111 loss: 0.204081192612648, elapse time: 5.793105840682983
epoch 112 loss: 0.20078773498535157, elapse time: 5.7972071170806885
epoch 113 loss: 0.20322860777378082, elapse time: 5.80626368522644
epoch 114 loss: 0.20204977244138717, elapse time: 5.798211574554443
epoch 115 loss: 0.20417747125029564, elapse time: 5.8065736293792725
epoch 116 loss: 0.20347289219498635, elapse time: 5.784864664077759
epoch 117 loss: 0.2013523682951927, elapse time: 5.768693685531616
epoch 118 loss: 0.20333004370331764, elapse time: 5.795663595199585
epoch 119 loss: 0.2063261702656746, elapse time: 5.795194625854492
epoch 120 loss: 0.20549321472644805, elapse time: 5.7898359298706055
epoch 121 loss: 0.2000866211950779, elapse time: 5.797170400619507
epoch 122 loss: 0.19884373024106025, elapse time: 5.807787179946899
epoch 123 loss: 0.20083324164152144, elapse time: 5.791457414627075
epoch 124 loss: 0.19856869727373122, elapse time: 5.786134243011475
epoch 125 loss: 0.2028873085975647, elapse time: 5.803058385848999
epoch 126 loss: 0.201072396337986, elapse time: 5.8003809452056885
epoch 127 loss: 0.2002718009054661, elapse time: 5.794804811477661
epoch 128 loss: 0.2014963649213314, elapse time: 5.783199310302734
epoch 129 loss: 0.20042902678251268, elapse time: 5.772459506988525
epoch 130 loss: 0.19832242876291276, elapse time: 5.803823947906494
epoch 131 loss: 0.19696087166666984, elapse time: 5.787635087966919
epoch 132 loss: 0.19788054823875428, elapse time: 5.799008369445801
epoch 133 loss: 0.19898276776075363, elapse time: 5.802581787109375
epoch 134 loss: 0.19511411413550378, elapse time: 5.814519643783569
epoch 135 loss: 0.20138276144862174, elapse time: 5.787191390991211
epoch 136 loss: 0.20162255316972733, elapse time: 5.781248569488525
epoch 137 loss: 0.20247078016400338, elapse time: 5.7986180782318115
epoch 138 loss: 0.19837198108434678, elapse time: 5.778610944747925
epoch 139 loss: 0.19802704602479934, elapse time: 5.7904040813446045
epoch 140 loss: 0.19851430505514145, elapse time: 5.80279803276062
epoch 141 loss: 0.1956631898880005, elapse time: 5.801663637161255
epoch 142 loss: 0.19342488050460815, elapse time: 5.778931140899658
epoch 143 loss: 0.1966599218547344, elapse time: 5.786583185195923
epoch 144 loss: 0.19580332115292548, elapse time: 5.7904016971588135
epoch 145 loss: 0.19683070108294487, elapse time: 5.80724310874939
epoch 146 loss: 0.19795654937624932, elapse time: 5.785366773605347
epoch 147 loss: 0.19612560272216797, elapse time: 5.789200067520142
epoch 148 loss: 0.1958908036351204, elapse time: 5.798927307128906
epoch 149 loss: 0.19662246480584145, elapse time: 5.7822980880737305
epoch 150 loss: 0.20141983330249785, elapse time: 5.784372568130493
epoch 151 loss: 0.1971179224550724, elapse time: 5.810537338256836
epoch 152 loss: 0.19392462000250815, elapse time: 5.782961368560791
epoch 153 loss: 0.192845406383276, elapse time: 5.793368577957153
epoch 154 loss: 0.19954992607235908, elapse time: 5.791352987289429
epoch 155 loss: 0.19686119332909585, elapse time: 5.8040244579315186
epoch 156 loss: 0.1944919355213642, elapse time: 5.791870355606079
epoch 157 loss: 0.19494295194745065, elapse time: 5.7801854610443115
epoch 158 loss: 0.1940149888396263, elapse time: 5.785182952880859
epoch 159 loss: 0.19257145449519159, elapse time: 5.787606954574585
epoch 160 loss: 0.19488083198666573, elapse time: 5.798584699630737
epoch 161 loss: 0.19294965639710426, elapse time: 5.787025451660156
epoch 162 loss: 0.1931476525962353, elapse time: 5.790434122085571
epoch 163 loss: 0.1910860277712345, elapse time: 5.7964301109313965
epoch 164 loss: 0.1910107783973217, elapse time: 5.785966157913208
epoch 165 loss: 0.19025650173425673, elapse time: 5.800937652587891
epoch 166 loss: 0.1924729861319065, elapse time: 5.806382656097412
epoch 167 loss: 0.19402270391583443, elapse time: 5.800040245056152
epoch 168 loss: 0.1911904774606228, elapse time: 5.815148591995239
epoch 169 loss: 0.1923374354839325, elapse time: 5.789262056350708
epoch 170 loss: 0.19431038051843644, elapse time: 5.791115760803223
epoch 171 loss: 0.19217437580227853, elapse time: 5.800381898880005
epoch 172 loss: 0.19341535940766336, elapse time: 5.805669784545898
epoch 173 loss: 0.193198561668396, elapse time: 5.7998528480529785
epoch 174 loss: 0.19624237790703775, elapse time: 5.803296089172363
epoch 175 loss: 0.197388381510973, elapse time: 5.795318603515625
epoch 176 loss: 0.19288817569613456, elapse time: 5.811017990112305
epoch 177 loss: 0.18942661508917807, elapse time: 5.762332439422607
epoch 178 loss: 0.19202284067869185, elapse time: 5.915309906005859
epoch 179 loss: 0.19317706525325776, elapse time: 5.910890579223633
epoch 180 loss: 0.1901119716465473, elapse time: 5.799880504608154
epoch 181 loss: 0.18850178346037866, elapse time: 5.809287786483765
epoch 182 loss: 0.1891687422990799, elapse time: 5.775665998458862
epoch 183 loss: 0.1915223255753517, elapse time: 5.799268484115601
epoch 184 loss: 0.19133692607283592, elapse time: 5.797221660614014
epoch 185 loss: 0.19454078003764153, elapse time: 5.816633701324463
epoch 186 loss: 0.18790781274437904, elapse time: 5.7849133014678955
epoch 187 loss: 0.19098395928740503, elapse time: 5.802180767059326
epoch 188 loss: 0.18822541534900666, elapse time: 5.808332204818726
epoch 189 loss: 0.18855594247579574, elapse time: 5.790204048156738
epoch 190 loss: 0.18843788281083107, elapse time: 5.794382810592651
epoch 191 loss: 0.18658517003059388, elapse time: 5.78658652305603
epoch 192 loss: 0.19193504974246026, elapse time: 5.802922487258911
epoch 193 loss: 0.18730924353003503, elapse time: 5.798501491546631
epoch 194 loss: 0.1906782604753971, elapse time: 5.801889419555664
epoch 195 loss: 0.1880512960255146, elapse time: 5.795509099960327
epoch 196 loss: 0.18898503556847573, elapse time: 5.8110246658325195
epoch 197 loss: 0.18785375878214836, elapse time: 5.775406837463379
epoch 198 loss: 0.19077587351202965, elapse time: 5.791627883911133
epoch 199 loss: 0.1902007408440113, elapse time: 5.797010898590088
epoch 200 loss: 0.18879691883921623, elapse time: 5.804516792297363
epoch 201 loss: 0.18774507865309714, elapse time: 5.797885179519653
epoch 202 loss: 0.18499127700924872, elapse time: 5.813017845153809
epoch 203 loss: 0.18524473309516906, elapse time: 5.781959056854248
epoch 204 loss: 0.18629492819309235, elapse time: 5.781052350997925
epoch 205 loss: 0.18304089158773423, elapse time: 5.796429395675659
epoch 206 loss: 0.18373605385422706, elapse time: 5.7995288372039795
epoch 207 loss: 0.18886758312582969, elapse time: 5.783473253250122
epoch 208 loss: 0.18900771513581277, elapse time: 5.800291538238525
epoch 209 loss: 0.1829511620104313, elapse time: 5.80132269859314
epoch 210 loss: 0.18569182604551315, elapse time: 5.790586233139038
epoch 211 loss: 0.18677401840686797, elapse time: 5.799388647079468
epoch 212 loss: 0.18551030158996581, elapse time: 5.804583311080933
epoch 213 loss: 0.18585284873843194, elapse time: 5.797879695892334
epoch 214 loss: 0.1853640928864479, elapse time: 5.796890020370483
epoch 215 loss: 0.18293338343501092, elapse time: 5.801701307296753
epoch 216 loss: 0.1837604247033596, elapse time: 5.803749084472656
epoch 217 loss: 0.18584135696291923, elapse time: 5.78423285484314
epoch 218 loss: 0.18703143298625946, elapse time: 5.78987717628479
epoch 219 loss: 0.18792878240346908, elapse time: 5.794010162353516
epoch 220 loss: 0.18168665692210198, elapse time: 5.782179117202759
epoch 221 loss: 0.18309301659464836, elapse time: 5.791989326477051
epoch 222 loss: 0.18218201249837876, elapse time: 5.782653093338013
epoch 223 loss: 0.18126351609826089, elapse time: 5.803728818893433
epoch 224 loss: 0.18524046167731284, elapse time: 5.787826776504517
epoch 225 loss: 0.18579633235931398, elapse time: 5.781865358352661
epoch 226 loss: 0.18671765998005868, elapse time: 5.783447027206421
epoch 227 loss: 0.18402399569749833, elapse time: 5.786794185638428
epoch 228 loss: 0.18190343752503396, elapse time: 5.7823326587677
