epoch 1 loss: 0.6699659824371338, elapse time: 3.59757924079895
epoch 1 loss: 0.6732248342954196, elapse time: 4.601457357406616
epoch 2 loss: 0.45642853012451756, elapse time: 3.3678157329559326
epoch 3 loss: 0.4074194018657391, elapse time: 3.3825173377990723
epoch 4 loss: 0.38684741808817935, elapse time: 3.365513563156128
epoch 5 loss: 0.3734635894115155, elapse time: 3.381840229034424
epoch 6 loss: 0.36238230420992923, elapse time: 3.378976821899414
epoch 7 loss: 0.3562074532875648, elapse time: 3.409053087234497
epoch 8 loss: 0.34941864242920506, elapse time: 3.38057017326355
epoch 9 loss: 0.3423224412477933, elapse time: 3.381605386734009
epoch 10 loss: 0.33969393372535706, elapse time: 3.3956010341644287
epoch 11 loss: 0.3347951013308305, elapse time: 3.384352207183838
epoch 12 loss: 0.33263400884775013, elapse time: 3.3851847648620605
epoch 13 loss: 0.3297494397713588, elapse time: 3.3760476112365723
epoch 14 loss: 0.3287138526256268, elapse time: 3.374277353286743
epoch 15 loss: 0.3266754769361936, elapse time: 3.387507677078247
epoch 16 loss: 0.32641428250532883, elapse time: 3.384114980697632
epoch 17 loss: 0.32168776713884795, elapse time: 3.393061876296997
epoch 18 loss: 0.3197438716888428, elapse time: 3.3926596641540527
epoch 19 loss: 0.3217940009557284, elapse time: 3.391305685043335
epoch 20 loss: 0.3206094480477847, elapse time: 3.3882668018341064
epoch 21 loss: 0.3147159768984868, elapse time: 3.4372036457061768
epoch 22 loss: 0.3115823016716884, elapse time: 3.392298936843872
epoch 23 loss: 0.31264933485251206, elapse time: 3.385199785232544
epoch 24 loss: 0.31317055913118214, elapse time: 3.3857100009918213
epoch 25 loss: 0.3116198434279515, elapse time: 3.385399103164673
epoch 26 loss: 0.30988990572782665, elapse time: 3.382385730743408
epoch 27 loss: 0.306781904055522, elapse time: 3.3918938636779785
epoch 28 loss: 0.3045140619461353, elapse time: 3.391569137573242
epoch 29 loss: 0.3042459235741542, elapse time: 3.3896701335906982
epoch 30 loss: 0.30164825228544384, elapse time: 3.387504816055298
epoch 31 loss: 0.29977059822816116, elapse time: 3.3879566192626953
epoch 32 loss: 0.30236106193982637, elapse time: 3.3973000049591064
epoch 33 loss: 0.30047789674538833, elapse time: 3.3914997577667236
epoch 34 loss: 0.2996816382958339, elapse time: 3.3904855251312256
epoch 35 loss: 0.29837902692648083, elapse time: 3.3954899311065674
epoch 36 loss: 0.29766048147128177, elapse time: 3.394882917404175
epoch 37 loss: 0.2961211112829355, elapse time: 3.388038158416748
epoch 38 loss: 0.29745614299407375, elapse time: 3.411628007888794
epoch 39 loss: 0.2958353666158823, elapse time: 3.4119529724121094
epoch 40 loss: 0.2930742364663344, elapse time: 3.3830034732818604
epoch 41 loss: 0.29203742284041184, elapse time: 3.3940632343292236
epoch 42 loss: 0.2921309173107147, elapse time: 3.4020907878875732
epoch 43 loss: 0.28966516027083766, elapse time: 3.390932559967041
epoch 44 loss: 0.2933333539045774, elapse time: 3.396644353866577
epoch 45 loss: 0.29161094014461225, elapse time: 3.3919191360473633
epoch 46 loss: 0.28967355306331927, elapse time: 3.3914384841918945
epoch 47 loss: 0.28788548020216137, elapse time: 3.3926620483398438
epoch 48 loss: 0.28809091678032506, elapse time: 3.3975272178649902
epoch 49 loss: 0.2882000253750728, elapse time: 3.4044055938720703
epoch 50 loss: 0.2885870956457578, elapse time: 3.393129587173462
epoch 51 loss: 0.2895244589218727, elapse time: 3.388684034347534
epoch 52 loss: 0.2865114945631761, elapse time: 3.3910458087921143
epoch 53 loss: 0.2865447745873378, elapse time: 3.3806915283203125
epoch 54 loss: 0.2835267209089719, elapse time: 3.385962724685669
epoch 55 loss: 0.2872363397708306, elapse time: 3.4052252769470215
epoch 56 loss: 0.2835793128380409, elapse time: 3.379539728164673
epoch 57 loss: 0.28099462389945984, elapse time: 3.3943684101104736
epoch 58 loss: 0.28059234756689805, elapse time: 3.401176691055298
epoch 59 loss: 0.2811605724004599, elapse time: 3.3811419010162354
epoch 60 loss: 0.27772841774500334, elapse time: 3.3915374279022217
epoch 61 loss: 0.2754291892051697, elapse time: 3.413010597229004
epoch 62 loss: 0.27978556202008176, elapse time: 3.3949944972991943
epoch 63 loss: 0.27980372309684753, elapse time: 3.4130849838256836
epoch 64 loss: 0.2770168643731337, elapse time: 3.388263463973999
epoch 65 loss: 0.2757700589986948, elapse time: 3.3903348445892334
epoch 66 loss: 0.28050159491025484, elapse time: 3.4079172611236572
epoch 67 loss: 0.27646678456893337, elapse time: 3.4126269817352295
epoch 68 loss: 0.2727763079679929, elapse time: 3.3981316089630127
epoch 69 loss: 0.27214845556479234, elapse time: 3.394477367401123
epoch 70 loss: 0.27218738427528966, elapse time: 3.3917200565338135
epoch 71 loss: 0.2720490258473616, elapse time: 3.3943417072296143
epoch 72 loss: 0.27258485555648804, elapse time: 3.4042272567749023
epoch 73 loss: 0.2720137926248404, elapse time: 3.385817289352417
epoch 74 loss: 0.2691611349582672, elapse time: 3.3964433670043945
epoch 75 loss: 0.26698605486979854, elapse time: 3.3928980827331543
epoch 76 loss: 0.26669118954585147, elapse time: 3.395143985748291
epoch 77 loss: 0.2668004861244789, elapse time: 3.4000728130340576
epoch 78 loss: 0.2648836603531471, elapse time: 3.4120113849639893
epoch 79 loss: 0.26657413977843064, elapse time: 3.3948867321014404
epoch 80 loss: 0.26540968739069426, elapse time: 3.394192934036255
epoch 81 loss: 0.2672269470416583, elapse time: 3.399096965789795
epoch 82 loss: 0.267209529876709, elapse time: 3.389859914779663
epoch 83 loss: 0.2710049037749951, elapse time: 3.401358127593994
epoch 84 loss: 0.2629348704448113, elapse time: 3.394597053527832
epoch 85 loss: 0.25978313157191646, elapse time: 3.396259307861328
epoch 86 loss: 0.26531814611875093, elapse time: 3.4068870544433594
epoch 87 loss: 0.2609166812438231, elapse time: 3.400296688079834
epoch 88 loss: 0.26763442158699036, elapse time: 3.425093650817871
epoch 89 loss: 0.26249460875988007, elapse time: 3.3895163536071777
epoch 90 loss: 0.26273588033822864, elapse time: 3.385714530944824
epoch 91 loss: 0.2590218954361402, elapse time: 3.405193567276001
epoch 92 loss: 0.25977250589774203, elapse time: 3.3981564044952393
epoch 93 loss: 0.25662106848680055, elapse time: 3.3911001682281494
epoch 94 loss: 0.25790386360425216, elapse time: 3.3967819213867188
epoch 95 loss: 0.25423093369373906, elapse time: 3.394359588623047
epoch 96 loss: 0.25958866683336407, elapse time: 3.4119327068328857
epoch 97 loss: 0.2564106010473691, elapse time: 3.390096664428711
epoch 98 loss: 0.2566571304431328, elapse time: 3.3902292251586914
epoch 99 loss: 0.25584707810328555, elapse time: 3.3914973735809326
epoch 100 loss: 0.2577223823620723, elapse time: 3.386244773864746
epoch 101 loss: 0.26499053491995883, elapse time: 3.399794816970825
epoch 102 loss: 0.2595002078093015, elapse time: 3.3910481929779053
epoch 103 loss: 0.2595985463032356, elapse time: 3.4129953384399414
epoch 104 loss: 0.25341657262582046, elapse time: 3.396439552307129
epoch 105 loss: 0.25570221359913164, elapse time: 3.3923187255859375
epoch 106 loss: 0.2575980000771009, elapse time: 3.3939168453216553
epoch 107 loss: 0.2546999557660176, elapse time: 3.3968067169189453
epoch 108 loss: 0.2533479424623343, elapse time: 3.4059062004089355
epoch 109 loss: 0.2552572935819626, elapse time: 3.391623020172119
epoch 110 loss: 0.25450082008655256, elapse time: 3.387662649154663
epoch 111 loss: 0.25135030425511873, elapse time: 3.393998861312866
epoch 112 loss: 0.2501581758260727, elapse time: 3.394412040710449
epoch 113 loss: 0.24804662397274604, elapse time: 3.3892855644226074
epoch 114 loss: 0.24907928361342505, elapse time: 3.391124963760376
epoch 115 loss: 0.2494712471961975, elapse time: 3.4016435146331787
epoch 116 loss: 0.2495767233463434, elapse time: 3.390406847000122
epoch 117 loss: 0.250143275811122, elapse time: 3.3899309635162354
epoch 118 loss: 0.24754848503149474, elapse time: 3.4054088592529297
epoch 119 loss: 0.25049446523189545, elapse time: 3.3945274353027344
epoch 120 loss: 0.24798142336882079, elapse time: 3.4270710945129395
epoch 121 loss: 0.24602830639252296, elapse time: 3.3889358043670654
epoch 122 loss: 0.24552037509588095, elapse time: 3.39444637298584
epoch 123 loss: 0.24484075949742243, elapse time: 3.399177312850952
epoch 124 loss: 0.24606697949079367, elapse time: 3.3967506885528564
epoch 125 loss: 0.24678881581013018, elapse time: 3.3872921466827393
epoch 126 loss: 0.2445426617677395, elapse time: 3.401564359664917
epoch 127 loss: 0.2441314126436527, elapse time: 3.4003026485443115
