Epoch,IOU_Train,IOU_Val
0,0.5340,0.4773
1,0.5640,0.5295
2,0.5752,0.4749
3,0.5828,0.4116
4,0.5886,0.4942
5,0.5951,0.5516
6,0.5997,0.5279
7,0.6033,0.4694
8,0.6066,0.5484
9,0.6092,0.5000
10,0.6119,0.5425
11,0.6152,0.4021
12,0.6177,0.5427
13,0.6198,0.4925
14,0.6234,0.5530
15,0.6245,0.4360
16,0.6274,0.3196
17,0.6290,0.5368
18,0.6311,0.5395
19,0.6323,0.4389
20,0.6338,0.5205
21,0.6373,0.5507
22,0.6375,0.4229
23,0.6402,0.5063
24,0.6418,0.4096
25,0.6438,0.4861
26,0.6447,0.4887
27,0.6464,0.5402
28,0.6494,0.4662
29,0.6512,0.3272
30,0.6540,0.4567
31,0.6546,0.3813
32,0.6568,0.4157
33,0.6591,0.4621
34,0.6611,0.5201
35,0.6629,0.5155
36,0.6639,0.4441
37,0.6660,0.5173
38,0.6679,0.4032
39,0.6698,0.4242
40,0.6718,0.5162
41,0.6740,0.4806
42,0.6754,0.4754
43,0.6782,0.5376
44,0.6777,0.3615
45,0.6800,0.5204
46,0.6829,0.5425
47,0.6849,0.5509
48,0.6845,0.5430
49,0.6866,0.4842
50,0.6887,0.4543
51,0.6894,0.5104
52,0.6902,0.4889
53,0.6937,0.5192
54,0.6937,0.4649
55,0.6957,0.4567
56,0.6980,0.3922
57,0.6989,0.4057
58,0.7004,0.5034
59,0.7009,0.4865
60,0.7018,0.5145
61,0.7035,0.4715
62,0.7041,0.4231
63,0.7053,0.5300
64,0.7061,0.4029
65,0.7063,0.5375
66,0.7081,0.2886
67,0.7092,0.4599
68,0.7103,0.4559
69,0.7109,0.5297
70,0.7120,0.4794
71,0.7132,0.4396
72,0.7135,0.5081
73,0.7144,0.3385
74,0.7154,0.5397
75,0.7168,0.3765
76,0.7180,0.5588
77,0.7186,0.5223
78,0.7195,0.5085
79,0.7197,0.4885
80,0.7206,0.3112
81,0.7206,0.3687
82,0.7220,0.5364
83,0.7230,0.4963
84,0.7232,0.5138
85,0.7241,0.3869
86,0.7244,0.4451
87,0.7263,0.3911
88,0.7263,0.4539
89,0.7264,0.5141
90,0.7284,0.4491
91,0.7281,0.5391
92,0.7292,0.3190
93,0.7306,0.4714
94,0.7300,0.4939
95,0.7314,0.5412
96,0.7320,0.3949
97,0.7331,0.4856
98,0.7332,0.5146
99,0.7342,0.5273
100,0.7349,0.4171
101,0.7360,0.4985
102,0.7355,0.5299
103,0.7371,0.3458
104,0.7381,0.4925
105,0.7378,0.4108
106,0.7395,0.4732
107,0.7400,0.4840
108,0.7414,0.4029
109,0.7412,0.5252
110,0.7425,0.4760
111,0.7432,0.4974
112,0.7433,0.4720
113,0.7442,0.3907
114,0.7455,0.2517
115,0.7459,0.3492
116,0.7464,0.5291
117,0.7477,0.4484
118,0.7483,0.5107
119,0.7498,0.4973
120,0.7494,0.4170
121,0.7508,0.4163
122,0.7517,0.3393
123,0.7527,0.4440
124,0.7523,0.4817
125,0.7546,0.4507
126,0.7549,0.4793
127,0.7555,0.4157
128,0.7558,0.4322
129,0.7577,0.5202
130,0.7583,0.3785
131,0.7578,0.4245
132,0.7598,0.5436
133,0.7605,0.4810
134,0.7612,0.4528
135,0.7624,0.4914
136,0.7634,0.4979
137,0.7639,0.3993
138,0.7638,0.4192
139,0.7664,0.3243
140,0.7662,0.4747
141,0.7670,0.4221
142,0.7681,0.5144
143,0.7683,0.4774
144,0.7699,0.3886
145,0.7705,0.4483
146,0.7718,0.4598
147,0.7723,0.5060
148,0.7734,0.4639
149,0.7736,0.3632
