Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.356292,0.5340,0.4773,41.06
1,0.313081,0.5640,0.5295,40.73
2,0.292252,0.5752,0.4749,40.74
3,0.279788,0.5828,0.4116,40.75
4,0.268945,0.5886,0.4942,40.74
5,0.261881,0.5951,0.5516,40.74
6,0.253253,0.5997,0.5279,40.85
7,0.246923,0.6033,0.4694,40.74
8,0.243023,0.6066,0.5484,40.70
9,0.238671,0.6092,0.5000,40.71
10,0.234239,0.6119,0.5425,40.69
11,0.229765,0.6152,0.4021,40.71
12,0.226624,0.6177,0.5427,40.70
13,0.223069,0.6198,0.4925,40.70
14,0.220437,0.6234,0.5530,40.70
15,0.218000,0.6245,0.4360,40.73
16,0.214479,0.6274,0.3196,40.73
17,0.212280,0.6290,0.5368,40.86
18,0.209377,0.6311,0.5395,40.83
19,0.208165,0.6323,0.4389,40.81
20,0.205855,0.6338,0.5205,40.69
21,0.202535,0.6373,0.5507,40.72
22,0.200802,0.6375,0.4229,40.74
23,0.198939,0.6402,0.5063,40.89
24,0.196713,0.6418,0.4096,40.70
25,0.195001,0.6438,0.4861,40.72
26,0.192941,0.6447,0.4887,40.73
27,0.191250,0.6464,0.5402,40.70
28,0.188339,0.6494,0.4662,40.94
29,0.187577,0.6512,0.3272,40.97
30,0.183951,0.6540,0.4567,40.83
31,0.182985,0.6546,0.3813,36.78
32,0.180696,0.6568,0.4157,41.00
33,0.178250,0.6591,0.4621,40.79
34,0.175847,0.6611,0.5201,40.75
35,0.174979,0.6629,0.5155,40.74
36,0.173590,0.6639,0.4441,40.75
37,0.171485,0.6660,0.5173,40.75
38,0.169035,0.6679,0.4032,40.75
39,0.167646,0.6698,0.4242,40.75
40,0.165601,0.6718,0.5162,40.75
41,0.163315,0.6740,0.4806,40.75
42,0.162006,0.6754,0.4754,40.73
43,0.159124,0.6782,0.5376,40.71
44,0.159893,0.6777,0.3615,40.69
45,0.157770,0.6800,0.5204,40.70
46,0.154962,0.6829,0.5425,40.71
47,0.153509,0.6849,0.5509,40.72
48,0.153844,0.6845,0.5430,40.91
49,0.151556,0.6866,0.4842,40.69
50,0.149561,0.6887,0.4543,40.71
51,0.149380,0.6894,0.5104,40.71
52,0.148084,0.6902,0.4889,40.73
53,0.145385,0.6937,0.5192,40.70
54,0.145240,0.6937,0.4649,40.71
55,0.144128,0.6957,0.4567,40.70
56,0.141765,0.6980,0.3922,40.71
57,0.141524,0.6989,0.4057,40.75
58,0.139699,0.7004,0.5034,40.84
59,0.139840,0.7009,0.4865,40.77
60,0.138767,0.7018,0.5145,40.75
61,0.137372,0.7035,0.4715,40.85
62,0.136806,0.7041,0.4231,40.71
63,0.135883,0.7053,0.5300,40.72
64,0.134951,0.7061,0.4029,40.74
65,0.135077,0.7063,0.5375,40.70
66,0.133495,0.7081,0.2886,40.81
67,0.132619,0.7092,0.4599,40.74
68,0.132545,0.7103,0.4559,40.77
69,0.131181,0.7109,0.5297,40.76
70,0.130702,0.7120,0.4794,40.79
71,0.129807,0.7132,0.4396,40.85
72,0.129507,0.7135,0.5081,41.05
73,0.129263,0.7144,0.3385,40.76
74,0.128478,0.7154,0.5397,40.75
75,0.127330,0.7168,0.3765,40.74
76,0.126308,0.7180,0.5588,40.72
77,0.125979,0.7186,0.5223,40.74
78,0.125212,0.7195,0.5085,40.71
79,0.125045,0.7197,0.4885,40.71
80,0.124433,0.7206,0.3112,40.74
81,0.124199,0.7206,0.3687,40.79
82,0.123537,0.7220,0.5364,40.73
83,0.122919,0.7230,0.4963,40.75
84,0.122520,0.7232,0.5138,40.77
85,0.121768,0.7241,0.3869,40.77
86,0.121731,0.7244,0.4451,40.78
87,0.120145,0.7263,0.3911,40.77
88,0.120363,0.7263,0.4539,40.77
89,0.119888,0.7264,0.5141,40.78
90,0.118734,0.7284,0.4491,40.78
91,0.118937,0.7281,0.5391,40.81
92,0.118495,0.7292,0.3190,40.77
93,0.117330,0.7306,0.4714,40.81
94,0.117828,0.7300,0.4939,40.81
95,0.116847,0.7314,0.5412,41.94
96,0.116570,0.7320,0.3949,40.87
97,0.115728,0.7331,0.4856,40.77
98,0.115795,0.7332,0.5146,40.78
99,0.114733,0.7342,0.5273,40.79
100,0.114633,0.7349,0.4171,40.80
101,0.113613,0.7360,0.4985,40.79
102,0.114250,0.7355,0.5299,40.81
103,0.112979,0.7371,0.3458,40.74
104,0.112672,0.7381,0.4925,40.74
105,0.112542,0.7378,0.4108,40.74
106,0.111530,0.7395,0.4732,40.77
107,0.111344,0.7400,0.4840,40.75
108,0.110322,0.7414,0.4029,40.74
109,0.110396,0.7412,0.5252,40.87
110,0.109507,0.7425,0.4760,42.07
111,0.109160,0.7432,0.4974,40.80
112,0.109303,0.7433,0.4720,40.82
113,0.108780,0.7442,0.3907,40.78
114,0.107695,0.7455,0.2517,40.77
115,0.107470,0.7459,0.3492,40.78
116,0.107235,0.7464,0.5291,40.76
117,0.106537,0.7477,0.4484,40.77
118,0.106163,0.7483,0.5107,40.77
119,0.105323,0.7498,0.4973,40.76
120,0.105329,0.7494,0.4170,40.82
121,0.104401,0.7508,0.4163,40.78
122,0.104042,0.7517,0.3393,40.77
123,0.103485,0.7527,0.4440,40.78
124,0.103897,0.7523,0.4817,40.79
125,0.102627,0.7546,0.4507,40.77
126,0.101926,0.7549,0.4793,40.84
127,0.101970,0.7555,0.4157,40.81
128,0.101626,0.7558,0.4322,40.77
129,0.100567,0.7577,0.5202,40.76
130,0.100282,0.7583,0.3785,40.73
131,0.100603,0.7578,0.4245,40.73
132,0.099348,0.7598,0.5436,40.88
133,0.099100,0.7605,0.4810,40.74
134,0.098580,0.7612,0.4528,40.74
